geo,nace_r2,ai_adoption,year
AT,C,9.61,2021
AT,C,10.96,2022
AT,C,12.31,2023
AT,C,22.71,2024
AT,C,32.54,2025
AT,F,3.12,2021
AT,F,3.7,2022
AT,F,4.28,2023
AT,F,7.35,2024
AT,F,14.89,2025
AT,G,6.94,2021
AT,G,7.645,2022
AT,G,8.35,2023
AT,G,15.67,2024
AT,G,26.46,2025
AT,H,6.98,2021
AT,H,7.6450000000000005,2022
AT,H,8.31,2023
AT,H,13.48,2024
AT,H,19.37,2025
AT,I,3.31,2021
AT,I,3.4699999999999998,2022
AT,I,3.63,2023
AT,I,15.87,2024
AT,I,23.72,2025
AT,J,30.27,2021
AT,J,33.66,2022
AT,J,37.05,2023
AT,J,60.74,2024
AT,J,79.93,2025
AT,M,20.93,2021
AT,M,23.375,2022
AT,M,25.82,2023
AT,M,39.59,2024
AT,M,52.8,2025
AT,N,6.48,2021
AT,N,7.130000000000001,2022
AT,N,7.78,2023
AT,N,19.57,2024
AT,N,25.72,2025
BE,C,10.42,2021
BE,C,12.865,2022
BE,C,15.31,2023
BE,C,23.24,2024
BE,C,39.8,2025
BE,F,8.3,2021
BE,F,6.735,2022
BE,F,5.17,2023
BE,F,11.08,2024
BE,F,20.25,2025
BE,G,8.08,2021
BE,G,9.165,2022
BE,G,10.25,2023
BE,G,22.48,2024
BE,G,32.84,2025
BE,H,5.69,2021
BE,H,10.315,2022
BE,H,14.94,2023
BE,H,23.03,2024
BE,H,22.36,2025
BE,I,1.43,2021
BE,I,4.705,2022
BE,I,7.98,2023
BE,I,15.66,2024
BE,I,18.45,2025
BE,M,20.24,2021
BE,M,24.259999999999998,2022
BE,M,28.28,2023
BE,M,42.92,2024
BE,M,57.11,2025
BE,N,8.7,2021
BE,N,9.87,2022
BE,N,11.04,2023
BE,N,20.99,2024
BE,N,28.95,2025
BG,C,2.88,2021
BG,C,2.715,2022
BG,C,2.55,2023
BG,C,4.35,2024
BG,C,5.25,2025
BG,G,2.47,2021
BG,G,2.4850000000000003,2022
BG,G,2.5,2023
BG,G,6.13,2024
BG,G,7.26,2025
BG,H,1.92,2021
BG,H,1.91,2022
BG,H,1.9,2023
BG,H,4.4,2024
BG,H,5.71,2025
BG,J,20.82,2021
BG,J,21.11,2022
BG,J,21.4,2023
BG,J,33.92,2024
BG,J,42.01,2025
BG,M,3.68,2021
BG,M,6.665,2022
BG,M,9.65,2023
BG,M,14.17,2024
BG,M,26.38,2025
BG,N,2.88,2021
BG,N,4.52,2022
BG,N,6.16,2023
BG,N,3.9,2024
BG,N,7.83,2025
CY,C,2.05,2021
CY,C,2.9299999999999997,2022
CY,C,3.81,2023
CY,C,2.98,2024
CY,C,4.26,2025
CY,E,0.0,2021
CY,E,1.12,2022
CY,E,2.24,2023
CY,E,0.0,2024
CY,E,3.94,2025
CY,F,0.21,2021
CY,F,0.76,2022
CY,F,1.31,2023
CY,F,2.39,2024
CY,F,4.31,2025
CY,G,1.06,2021
CY,G,1.58,2022
CY,G,2.1,2023
CY,G,4.1,2024
CY,G,4.38,2025
CY,H,7.14,2021
CY,H,7.074999999999999,2022
CY,H,7.01,2023
CY,H,7.28,2024
CY,H,5.52,2025
CY,I,0.45,2021
CY,I,0.835,2022
CY,I,1.22,2023
CY,I,3.53,2024
CY,I,4.56,2025
CY,J,18.98,2021
CY,J,22.465,2022
CY,J,25.95,2023
CY,J,41.39,2024
CY,J,46.61,2025
CY,L,0.0,2021
CY,L,1.955,2022
CY,L,3.91,2023
CY,L,4.2,2024
CY,L,8.95,2025
CY,M,4.39,2021
CY,M,6.025,2022
CY,M,7.66,2023
CY,M,14.84,2024
CY,M,14.14,2025
CY,N,3.1,2021
CY,N,6.0649999999999995,2022
CY,N,9.03,2023
CY,N,9.37,2024
CY,N,10.95,2025
CZ,C,4.19,2021
CZ,C,5.1,2022
CZ,C,6.01,2023
CZ,C,9.55,2024
CZ,C,16.73,2025
CZ,D,6.59,2021
CZ,D,7.1850000000000005,2022
CZ,D,7.78,2023
CZ,D,10.79,2024
CZ,D,12.97,2025
CZ,E,2.87,2021
CZ,E,3.425,2022
CZ,E,3.98,2023
CZ,E,4.12,2024
CZ,E,11.56,2025
CZ,F,0.35,2021
CZ,F,0.845,2022
CZ,F,1.34,2023
CZ,F,2.35,2024
CZ,F,7.84,2025
CZ,G,4.21,2021
CZ,G,4.6850000000000005,2022
CZ,G,5.16,2023
CZ,G,12.72,2024
CZ,G,19.17,2025
CZ,H,3.34,2021
CZ,H,3.88,2022
CZ,H,4.42,2023
CZ,H,5.65,2024
CZ,H,6.06,2025
CZ,I,0.93,2021
CZ,I,1.78,2022
CZ,I,2.63,2023
CZ,I,4.24,2024
CZ,I,10.14,2025
CZ,J,21.22,2021
CZ,J,22.990000000000002,2022
CZ,J,24.76,2023
CZ,J,46.49,2024
CZ,J,60.49,2025
CZ,L,4.51,2021
CZ,L,4.715,2022
CZ,L,4.92,2023
CZ,L,13.74,2024
CZ,L,15.86,2025
CZ,M,9.28,2021
CZ,M,9.35,2022
CZ,M,9.42,2023
CZ,M,22.09,2024
CZ,M,33.31,2025
CZ,N,3.1,2021
CZ,N,4.265,2022
CZ,N,5.43,2023
CZ,N,9.45,2024
CZ,N,13.01,2025
DE,C,9.19,2021
DE,C,9.254999999999999,2022
DE,C,9.32,2023
DE,C,16.11,2024
DE,C,24.38,2025
DE,D,24.08,2021
DE,D,23.365,2022
DE,D,22.65,2023
DE,D,32.15,2024
DE,D,37.38,2025
DE,E,7.2,2021
DE,E,7.640000000000001,2022
DE,E,8.08,2023
DE,E,11.53,2024
DE,E,16.88,2025
DE,F,8.29,2021
DE,F,6.385,2022
DE,F,4.48,2023
DE,F,10.01,2024
DE,F,14.28,2025
DE,G,7.95,2021
DE,G,8.96,2022
DE,G,9.97,2023
DE,G,16.29,2024
DE,G,25.46,2025
DE,H,6.14,2021
DE,H,6.595,2022
DE,H,7.05,2023
DE,H,11.48,2024
DE,H,12.22,2025
DE,I,3.88,2021
DE,I,4.63,2022
DE,I,5.38,2023
DE,I,8.26,2024
DE,I,14.63,2025
DE,J,28.8,2021
DE,J,30.924999999999997,2022
DE,J,33.05,2023
DE,J,60.52,2024
DE,J,75.38,2025
DE,L,11.15,2021
DE,L,11.275,2022
DE,L,11.4,2023
DE,L,20.98,2024
DE,L,29.06,2025
DE,M,25.54,2021
DE,M,25.939999999999998,2022
DE,M,26.34,2023
DE,M,42.29,2024
DE,M,48.3,2025
DE,N,6.85,2021
DE,N,8.934999999999999,2022
DE,N,11.02,2023
DE,N,18.91,2024
DE,N,22.08,2025
DK,C,27.28,2021
DK,C,21.04,2022
DK,C,14.8,2023
DK,C,21.75,2024
DK,C,38.55,2025
DK,F,8.87,2021
DK,F,6.05,2022
DK,F,3.23,2023
DK,F,11.7,2024
DK,F,23.93,2025
DK,G,21.3,2021
DK,G,17.735,2022
DK,G,14.17,2023
DK,G,27.34,2024
DK,G,44.8,2025
DK,H,21.28,2021
DK,H,18.22,2022
DK,H,15.16,2023
DK,H,21.1,2024
DK,H,26.9,2025
DK,I,12.21,2021
DK,I,9.405000000000001,2022
DK,I,6.6,2023
DK,I,10.79,2024
DK,I,25.2,2025
DK,J,54.75,2021
DK,J,49.53,2022
DK,J,44.31,2023
DK,J,68.3,2024
DK,J,79.08,2025
DK,M,39.22,2021
DK,M,31.4,2022
DK,M,23.58,2023
DK,M,44.9,2024
DK,M,63.71,2025
DK,N,19.04,2021
DK,N,14.18,2022
DK,N,9.32,2023
DK,N,27.84,2024
DK,N,33.06,2025
EE,C,2.72,2021
EE,C,2.92,2022
EE,C,3.12,2023
EE,C,9.77,2024
EE,C,22.66,2025
EE,D,8.29,2021
EE,D,11.165,2022
EE,D,14.04,2023
EE,D,24.68,2024
EE,D,24.65,2025
EE,E,0.0,2021
EE,E,0.0,2022
EE,E,0.0,2023
EE,E,2.86,2024
EE,E,10.79,2025
EE,F,0.64,2021
EE,F,2.135,2022
EE,F,3.63,2023
EE,F,8.05,2024
EE,F,17.39,2025
EE,G,2.07,2021
EE,G,2.77,2022
EE,G,3.47,2023
EE,G,10.49,2024
EE,G,18.4,2025
EE,H,2.36,2021
EE,H,3.9850000000000003,2022
EE,H,5.61,2023
EE,H,10.13,2024
EE,H,13.99,2025
EE,I,0.19,2021
EE,I,0.9149999999999999,2022
EE,I,1.64,2023
EE,I,6.1,2024
EE,I,16.25,2025
EE,J,11.51,2021
EE,J,16.0,2022
EE,J,20.49,2023
EE,J,44.28,2024
EE,J,56.6,2025
EE,L,0.0,2021
EE,L,0.83,2022
EE,L,1.66,2023
EE,L,9.71,2024
EE,L,23.25,2025
EE,M,8.51,2021
EE,M,9.629999999999999,2022
EE,M,10.75,2023
EE,M,36.43,2024
EE,M,52.24,2025
EE,N,2.63,2021
EE,N,4.85,2022
EE,N,7.07,2023
EE,N,20.33,2024
EE,N,19.07,2025
EL,C,5.35,2021
EL,C,5.27,2022
EL,C,5.19,2023
EL,C,7.48,2024
EL,C,7.77,2025
EL,D,27.89,2021
EL,D,16.72,2022
EL,D,5.55,2023
EL,D,12.95,2024
EL,D,16.5,2025
EL,E,3.92,2021
EL,E,6.915,2022
EL,E,9.91,2023
EL,E,16.08,2024
EL,E,6.14,2025
EL,F,2.82,2021
EL,F,3.11,2022
EL,F,3.4,2023
EL,F,5.17,2024
EL,F,6.96,2025
EL,G,1.88,2021
EL,G,3.11,2022
EL,G,4.34,2023
EL,G,10.45,2024
EL,G,9.49,2025
EL,H,5.43,2021
EL,H,5.67,2022
EL,H,5.91,2023
EL,H,11.64,2024
EL,H,9.56,2025
EL,I,0.12,2021
EL,I,0.7250000000000001,2022
EL,I,1.33,2023
EL,I,6.24,2024
EL,I,3.39,2025
EL,J,11.16,2021
EL,J,14.33,2022
EL,J,17.5,2023
EL,J,25.63,2024
EL,J,43.93,2025
EL,L,0.82,2021
EL,L,4.45,2022
EL,L,8.08,2023
EL,L,9.3,2024
EL,L,12.91,2025
EL,M,9.2,2021
EL,M,8.934999999999999,2022
EL,M,8.67,2023
EL,M,21.02,2024
EL,M,30.81,2025
EL,N,1.84,2021
EL,N,3.265,2022
EL,N,4.69,2023
EL,N,14.4,2024
EL,N,14.79,2025
ES,C,7.42,2021
ES,C,8.05,2022
ES,C,8.68,2023
ES,C,9.81,2024
ES,C,17.14,2025
ES,F,3.77,2021
ES,F,4.2,2022
ES,F,4.63,2023
ES,F,4.43,2024
ES,F,11.26,2025
ES,G,5.99,2021
ES,G,6.390000000000001,2022
ES,G,6.79,2023
ES,G,9.58,2024
ES,G,17.81,2025
ES,H,9.02,2021
ES,H,8.03,2022
ES,H,7.04,2023
ES,H,8.59,2024
ES,H,14.69,2025
ES,I,3.57,2021
ES,I,4.975,2022
ES,I,6.38,2023
ES,I,3.52,2024
ES,I,15.23,2025
ES,J,26.65,2021
ES,J,29.54,2022
ES,J,32.43,2023
ES,J,46.57,2024
ES,J,60.57,2025
ES,L,12.87,2021
ES,L,11.11,2022
ES,L,9.35,2023
ES,L,11.67,2024
ES,L,34.39,2025
ES,M,13.72,2021
ES,M,14.93,2022
ES,M,16.14,2023
ES,M,26.07,2024
ES,M,38.35,2025
ES,N,7.77,2021
ES,N,8.370000000000001,2022
ES,N,8.97,2023
ES,N,8.82,2024
ES,N,18.79,2025
FI,F,9.39,2021
FI,F,7.285,2022
FI,F,5.18,2023
FI,F,11.26,2024
FI,F,24.01,2025
FI,G,13.32,2021
FI,G,12.055,2022
FI,G,10.79,2023
FI,G,21.65,2024
FI,G,34.26,2025
FI,H,5.7,2021
FI,H,7.035,2022
FI,H,8.37,2023
FI,H,6.95,2024
FI,H,12.93,2025
FI,I,4.92,2021
FI,I,3.69,2022
FI,I,2.46,2023
FI,I,10.83,2024
FI,I,23.53,2025
FI,J,40.64,2021
FI,J,44.415,2022
FI,J,48.19,2023
FI,J,66.43,2024
FI,J,79.79,2025
FI,L,18.67,2021
FI,L,18.735,2022
FI,L,18.8,2023
FI,L,32.85,2024
FI,L,50.93,2025
FI,M,29.63,2021
FI,M,30.585,2022
FI,M,31.54,2023
FI,M,48.46,2024
FI,M,74.75,2025
FI,N,17.28,2021
FI,N,16.02,2022
FI,N,14.76,2023
FI,N,24.78,2024
