nace_r2,geo,2020,2021,2022,2023,2024
A,AT,30.4,22.2,24.4,22.6,33.8
A,BE,19.8,28.7,36.2,36.0,41.1
A,BG,8.1,7.5,6.7,8.6,12.7
A,CH,21.7,23.4,22.9,23.9,29.5
A,CY,15.9,21.5,21.4,18.9,17.3
A,CZ,11.2,11.3,13.2,13.6,15.3
A,DE,22.4,23.1,26.8,24.1,22.9
A,DK,13.6,15.2,18.4,23.6,25.4
A,EE,17.7,21.4,21.1,21.9,25.5
A,EL,6.6,7.6,11.3,12.8,15.9
A,ES,12.7,11.5,12.3,10.8,12.0
A,FI,30.2,19.6,21.7,22.6,22.0
A,FR,25.0,25.1,26.7,28.9,29.5
A,HR,14.1,8.9,7.0,14.9,20.9
A,HU,8.3,11.6,10.6,10.9,12.7
A,IE,24.0,27.4,26.8,28.2,26.2
A,IS,15.4,19.5,19.6,12.0,16.8
A,IT,4.2,4.7,4.3,3.8,3.6
A,LT,17.8,18.1,15.8,14.2,14.0
A,LV,18.9,16.1,20.9,22.7,21.8
A,NL,17.0,22.0,22.8,23.6,21.7
A,NO,21.9,20.1,18.8,20.6,21.5
A,PL,16.7,15.0,15.7,15.9,17.4
A,RO,11.0,10.9,11.6,11.1,8.5
A,SE,27.3,30.1,21.5,19.7,22.3
A,SI,23.8,29.0,34.5,22.1,14.3
A,SK,12.5,17.1,16.7,17.3,17.0
B,BG,16.1,21.3,21.3,18.3,18.0
B,CZ,8.2,7.3,10.9,10.7,7.8
B,ES,34.6,31.7,24.7,39.0,36.3
B,HR,31.9,44.9,35.6,38.0,35.7
B,IT,20.6,18.0,18.0,17.6,23.1
B,NL,61.0,44.7,46.8,47.4,45.8
B,NO,46.6,51.7,57.0,60.8,57.6
B,PL,27.1,27.2,27.9,29.0,29.0
B,RO,18.8,18.8,24.8,21.0,20.6
C,AT,30.6,31.8,33.0,33.5,35.8
C,BE,37.1,39.8,41.3,39.3,41.0
C,BG,15.0,15.0,13.8,15.2,18.9
C,CH,37.6,38.6,39.2,40.9,40.8
C,CY,24.9,27.6,29.9,32.9,36.9
C,CZ,12.9,13.4,14.1,14.0,14.1
C,DE,29.1,30.8,30.4,31.6,33.4
C,DK,30.2,31.8,31.3,31.7,35.3
C,EE,25.0,26.8,26.8,24.1,26.6
C,EL,25.0,28.2,29.8,26.2,24.7
C,ES,41.1,40.7,40.4,41.8,42.0
C,FI,39.3,36.7,37.8,36.4,35.7
C,FR,35.7,36.7,39.7,39.4,40.0
C,HR,14.4,17.4,16.3,15.5,18.6
C,HU,15.4,16.9,18.3,18.2,19.7
C,IE,50.3,53.4,51.7,52.9,54.3
C,IS,23.9,23.5,23.9,26.0,30.1
C,IT,12.6,12.6,12.8,14.3,15.0
C,LT,28.6,31.6,33.6,34.0,33.7
C,LU,32.8,35.1,43.0,45.3,42.1
C,LV,21.9,22.3,20.6,22.0,24.6
C,MT,22.6,23.1,22.5,22.7,26.9
C,NL,30.5,32.0,33.8,32.9,33.6
C,NO,29.6,31.4,32.1,31.9,31.5
C,PL,21.9,22.7,23.1,26.9,28.1
C,PT,15.3,15.8,18.1,17.4,20.0
C,RO,13.1,12.7,14.1,13.6,14.4
C,SE,29.6,30.6,31.3,33.3,35.0
C,SI,25.4,29.2,29.6,22.5,23.4
C,SK,16.2,15.9,17.0,17.9,17.4
D,AT,47.8,44.2,52.6,59.6,61.2
D,BE,53.0,52.2,59.0,55.8,51.6
D,BG,35.3,31.9,34.2,37.9,40.1
D,CH,55.3,54.0,46.6,51.7,50.9
D,CY,51.7,40.5,41.4,50.3,63.4
D,CZ,27.2,25.7,31.0,22.6,28.3
D,DE,44.5,47.6,47.6,48.2,47.8
D,DK,56.0,68.9,59.9,60.1,57.9
D,EE,53.3,62.5,60.5,56.1,48.3
D,EL,24.5,38.4,47.2,45.4,36.8
D,ES,77.1,75.8,73.5,72.2,77.8
D,FI,66.3,62.0,65.2,59.8,57.3
D,FR,50.9,55.9,55.8,53.7,59.4
D,HR,50.4,45.8,42.2,37.2,31.7
D,HU,35.1,39.4,36.9,45.2,43.5
D,IE,60.1,62.5,65.4,60.8,64.8
D,IS,35.5,46.5,41.4,52.4,55.0
D,IT,30.4,29.2,32.6,31.4,31.5
D,LT,47.8,55.6,62.4,65.5,61.3
D,LV,52.3,53.3,55.3,54.7,55.7
D,NL,55.0,54.9,63.4,58.8,60.9
D,NO,52.0,60.3,71.9,69.8,63.4
D,PL,43.6,42.3,41.1,43.6,48.8
D,PT,34.2,39.7,37.5,47.9,52.8
D,RO,30.8,30.0,31.0,36.4,33.4
D,SE,50.0,50.2,49.9,48.4,48.6
D,SI,46.5,54.7,56.5,52.5,55.3
D,SK,33.9,38.0,40.7,43.3,41.3
E,AT,19.5,19.0,24.5,24.2,22.9
E,BE,25.9,24.8,33.7,29.0,22.0
E,BG,15.9,13.2,10.9,16.0,19.0
E,CH,24.2,26.4,23.1,23.0,28.4
E,CZ,12.1,13.9,10.4,13.4,13.2
E,DE,20.4,19.9,20.6,18.0,21.0
E,DK,25.2,20.7,21.0,26.8,20.8
E,EL,8.4,13.9,16.4,15.9,14.3
E,ES,32.1,30.9,28.5,28.3,30.1
E,FI,33.9,29.5,33.3,34.6,30.0
E,FR,26.6,30.9,28.8,26.6,32.8
E,HR,21.7,24.6,17.4,17.0,23.8
E,HU,13.0,18.9,14.6,16.1,17.1
E,IT,10.2,10.8,10.8,10.3,11.5
E,LT,26.5,21.0,34.9,31.9,26.0
E,NL,27.3,32.2,30.9,29.3,31.7
E,PL,26.9,26.7,27.2,27.7,29.0
E,PT,20.5,23.1,24.5,27.0,22.3
E,RO,17.3,13.9,15.9,14.5,15.6
E,SE,25.2,29.7,27.1,21.8,27.6
E,SI,30.7,32.9,28.2,22.4,20.6
F,AT,21.5,21.2,22.9,22.5,24.4
F,BE,23.0,25.9,28.9,22.4,21.3
F,BG,10.2,12.0,12.8,12.1,13.1
F,CH,17.3,20.4,19.9,20.7,21.4
F,CY,23.4,23.8,26.4,25.8,25.2
F,CZ,13.0,16.6,16.9,17.0,17.7
F,DE,17.4,18.4,18.2,19.5,20.9
F,DK,10.5,10.7,12.1,11.9,13.5
F,EE,20.4,20.9,20.0,22.7,17.9
F,EL,17.0,19.8,8.8,12.5,13.0
F,ES,25.7,24.5,24.8,25.4,26.2
F,FI,23.0,19.6,20.5,19.9,21.4
F,FR,21.2,23.4,23.2,24.3,26.0
F,HR,11.9,12.5,11.3,8.8,12.9
F,HU,8.3,9.5,10.3,10.4,13.1
F,IE,26.7,27.8,28.9,27.2,28.3
F,IS,11.7,12.6,11.5,11.3,15.1
F,IT,5.3,4.6,4.8,4.9,4.9
F,LT,32.8,27.0,30.0,29.9,29.8
F,LV,23.8,21.9,20.4,24.0,24.4
F,MT,12.3,9.8,23.5,15.4,12.4
F,NL,23.2,22.0,23.7,23.5,23.0
F,NO,19.0,22.9,21.6,21.6,21.0
F,PL,16.2,18.0,18.4,22.0,23.0
F,PT,10.3,13.7,14.0,14.2,13.4
F,RO,13.1,13.1,14.3,12.4,11.6
F,SE,15.4,16.7,17.5,19.6,18.6
F,SI,14.7,16.7,17.2,11.6,11.6
F,SK,15.8,17.7,15.3,16.4,16.1
G,AT,22.5,23.1,23.9,24.5,22.4
G,BE,29.3,29.6,29.3,30.8,29.7
G,BG,22.8,24.4,25.0,25.6,25.8
G,CH,29.8,28.7,29.2,29.5,28.7
G,CY,35.9,36.7,34.4,37.3,39.4
G,CZ,13.5,14.6,15.4,15.4,16.8
G,DE,15.0,16.4,16.7,16.6,16.9
G,DK,20.4,21.5,23.2,22.9,24.0
G,EE,32.2,34.4,33.0,31.8,30.9
G,EL,25.7,28.8,26.2,25.0,26.5
G,ES,33.4,34.8,34.7,34.2,34.9
G,FI,34.9,29.4,30.1,28.4,29.6
G,FR,34.1,35.7,35.5,36.1,36.9
G,HR,18.3,18.6,18.1,19.6,18.9
G,HU,17.8,18.5,19.1,19.7,20.0
G,IE,31.0,34.0,33.0,34.0,33.1
G,IS,23.0,23.6,21.0,20.2,23.3
G,IT,14.0,14.0,14.4,14.1,14.5
G,LT,42.9,43.1,42.9,43.6,41.2
G,LU,34.2,38.3,41.6,39.9,46.5
G,LV,29.9,29.1,29.6,31.7,31.8
G,MT,13.8,15.3,17.6,17.5,20.3
G,NL,22.8,23.6,23.2,22.4,23.6
G,NO,23.8,25.8,24.9,24.5,24.6
G,PL,25.9,25.5,26.6,28.9,28.7
G,PT,20.7,21.1,22.7,23.4,23.0
G,RO,19.0,18.8,17.6,16.5,16.0
G,SE,25.8,26.8,26.7,27.1,30.3
G,SI,26.0,31.3,30.1,27.7,27.9
G,SK,17.1,19.7,21.7,21.4,19.8
H,AT,21.5,21.8,23.5,23.4,23.2
H,BE,25.4,26.1,26.7,27.8,28.1
H,BG,19.4,20.7,22.9,22.5,23.7
H,CH,28.1,29.5,28.5,28.2,28.9
H,CY,46.9,50.5,51.9,50.2,45.1
H,CZ,9.4,10.4,10.5,11.2,10.5
H,DE,15.1,15.3,14.7,15.3,16.7
H,DK,19.1,20.6,20.1,22.8,25.1
H,EE,26.3,29.2,25.2,26.5,28.9
H,EL,28.5,33.5,34.5,34.7,32.9
H,ES,32.4,33.0,31.2,31.7,30.1
H,FI,22.0,17.4,17.3,16.9,19.5
H,FR,26.6,27.3,26.4,28.6,28.1
H,HR,19.1,16.8,16.4,16.3,21.4
H,HU,14.7,15.4,15.7,15.4,16.3
H,IE,31.2,32.8,28.4,27.6,33.5
H,IS,25.2,27.2,24.5,20.1,28.0
H,IT,10.9,11.1,12.3,12.4,12.6
H,LT,32.7,35.5,37.9,36.4,40.8
H,LU,22.1,19.1,23.8,28.3,24.5
H,LV,25.3,29.3,30.4,30.2,32.1
H,MT,21.6,20.8,21.2,27.0,31.6
H,NL,22.3,24.6,22.5,21.8,23.0
H,NO,24.5,23.9,26.7,28.1,28.0
H,PL,25.2,21.8,20.2,23.9,24.8
H,PT,15.5,16.4,15.3,16.6,20.9
H,RO,12.2,11.8,11.5,10.3,10.1
H,SE,20.7,21.4,21.0,21.3,22.2
H,SI,24.6,26.1,23.2,19.7,19.2
H,SK,11.7,12.3,16.3,16.4,13.5
I,AT,21.6,20.1,21.9,23.3,22.8
I,BE,21.2,22.1,20.4,20.6,22.4
I,BG,12.4,14.3,14.6,14.6,16.1
I,CH,21.3,21.8,19.9,23.4,25.0
I,CY,33.7,35.1,35.1,30.7,33.7
I,CZ,6.3,7.0,9.3,9.4,7.7
I,DE,11.8,11.3,11.0,12.6,11.9
I,DK,16.3,13.3,12.3,15.4,17.4
I,EE,23.5,15.8,17.6,19.9,22.2
I,EL,16.9,19.1,18.6,14.9,16.6
I,ES,22.1,23.5,23.6,23.1,23.4
I,FI,19.8,15.8,13.7,14.4,16.2
I,FR,24.1,24.6,23.8,23.5,27.6
I,HR,13.3,7.7,9.3,14.9,14.1
I,HU,10.7,10.6,11.3,13.2,12.3
I,IE,31.0,30.9,28.6,29.9,32.8
I,IS,18.7,23.7,21.3,21.3,29.3
I,IT,7.5,6.4,6.4,7.2,6.5
I,LT,24.5,21.1,27.7,31.9,26.1
I,LV,15.5,16.2,14.2,13.8,14.7
I,MT,23.2,23.0,15.4,21.4,28.3
I,NL,13.5,15.0,14.7,14.7,14.4
I,NO,22.3,24.2,22.8,26.0,29.0
I,PL,20.0,17.6,19.2,17.4,15.9
I,PT,11.8,12.2,12.1,13.1,14.1
I,RO,10.3,10.6,10.0,7.8,7.2
I,SE,16.0,16.1,19.4,20.3,16.6
I,SI,14.9,19.2,19.1,13.2,16.2
I,SK,8.6,11.9,11.0,12.3,8.5
J,AT,67.0,63.0,67.3,66.7,66.8
J,BE,75.1,78.9,78.0,77.7,78.2
J,BG,73.7,76.7,75.9,75.8,77.6
J,CH,67.3,68.1,68.5,68.9,68.0
J,CY,76.0,79.6,82.6,85.1,83.4
J,CZ,62.9,59.6,59.1,57.5,62.4
J,DE,51.4,54.7,55.9,57.8,57.8
J,DK,60.5,59.9,59.6,62.5,64.4
J,EE,57.1,61.8,63.9,59.0,60.7
J,EL,64.3,65.5,64.8,63.3,67.0
J,ES,80.9,82.3,84.0,82.6,83.4
J,FI,72.2,69.1,66.8,63.4,68.1
J,FR,80.9,81.0,81.8,83.6,83.6
J,HR,62.3,68.1,62.8,69.1,73.5
J,HU,62.6,71.9,69.8,68.4,65.8
J,IE,83.9,83.5,84.9,85.3,84.8
J,IS,60.9,58.9,69.7,71.2,64.7
J,IT,44.6,47.4,45.6,48.5,49.6
J,LT,86.4,85.5,83.1,80.2,84.8
J,LU,71.4,71.8,74.1,74.0,70.4
J,LV,62.5,64.6,66.4,62.9,65.3
J,MT,46.0,51.8,47.7,54.0,55.4
J,NL,64.3,63.1,65.1,64.2,62.1
J,NO,68.2,69.4,70.8,70.9,73.0
J,PL,79.3,77.3,76.1,79.1,80.7
J,PT,64.3,67.5,66.3,68.6,72.3
J,RO,75.6,74.6,79.8,75.4,73.8
J,SE,63.2,68.7,72.7,73.2,73.1
J,SI,63.6,69.3,70.3,67.6,64.1
J,SK,73.5,71.4,75.2,72.6,70.1
K,AT,56.9,56.1,55.2,52.7,56.1
K,BE,80.6,82.7,80.0,80.3,80.8
K,BG,76.8,76.7,79.2,78.7,79.8
K,CH,58.0,61.7,63.7,63.7,64.5
K,CY,77.0,80.0,80.0,84.4,85.6
K,CZ,51.4,50.2,51.3,54.2,57.6
K,DE,34.4,36.5,37.9,38.5,38.5
K,DK,52.5,54.3,55.7,55.5,57.2
K,EE,76.0,79.0,70.5,69.5,72.7
K,EL,76.9,72.4,71.2,68.2,75.1
K,ES,80.9,81.5,79.8,81.2,81.7
K,FI,76.3,71.9,72.5,69.6,73.8
K,FR,80.0,77.2,77.9,80.9,79.5
K,HR,56.7,55.1,54.7,57.5,62.3
K,HU,65.8,66.6,66.0,66.5,70.4
K,IE,80.6,81.8,83.2,83.2,84.4
K,IS,71.7,71.3,72.8,73.4,77.7
K,IT,45.7,47.1,48.4,51.5,50.8
