geo,nace_r2,year,FSI
AT,B,2021,0.0
AT,B,2022,0.0
AT,B,2023,0.0
AT,B,2024,39.21438963100119
AT,C,2021,55.82415833480171
AT,C,2022,56.10361998234696
AT,C,2023,57.51586149558059
AT,C,2024,57.6566779940274
AT,D,2021,0.0
AT,D,2022,0.0
AT,D,2023,0.0
AT,D,2024,65.59915802135016
AT,E,2021,37.48892040418366
AT,E,2022,37.63226108018527
AT,E,2023,37.85258562793821
AT,E,2024,36.86175233845362
AT,F,2021,21.480389098437367
AT,F,2022,21.44878528763668
AT,F,2023,22.05136767120238
AT,F,2024,22.953075508110842
AT,G,2021,37.84228762168426
AT,G,2022,38.0362998519308
AT,G,2023,38.5600728795765
AT,G,2024,38.76131835273355
AT,H,2021,45.796170880884866
AT,H,2022,44.78420440506306
AT,H,2023,45.65048509406146
AT,H,2024,46.94170950596846
AT,I,2021,7.3163623646669675
AT,I,2022,8.228954684857692
AT,I,2023,9.695300268353165
AT,I,2024,9.907685470106573
AT,J,2021,28.64543982730707
AT,J,2022,29.102078231245983
AT,J,2023,29.231094686878166
AT,J,2024,27.379830033632214
AT,K,2021,58.29184220605133
AT,K,2022,56.74408363642295
AT,K,2023,56.472771068650104
AT,K,2024,56.86316643984433
AT,L,2021,7.853893497457854
AT,L,2022,9.21563999685312
AT,L,2023,8.865209949266758
AT,L,2024,9.145555388997153
AT,M,2021,7.312586849996343
AT,M,2022,8.5238820689192
AT,M,2023,9.383631590851456
AT,M,2024,9.966954116666038
AT,N,2021,45.68328119241957
AT,N,2022,44.68426002683985
AT,N,2023,42.05455192224573
AT,N,2024,41.063021359959556
AT,P,2021,17.231854114265182
AT,P,2022,20.0303957610236
AT,P,2023,18.880534670008352
AT,P,2024,18.73505235444259
AT,Q,2021,22.558722646288697
AT,Q,2022,32.9560199475803
AT,Q,2023,33.05245748544828
AT,Q,2024,33.83847318736997
AT,R,2021,11.912728993442844
AT,R,2022,0.0
AT,R,2023,0.0
AT,R,2024,12.537308863820734
BE,B,2021,0.0
BE,B,2022,0.0
BE,B,2023,0.0
BE,B,2024,0.0
BE,C,2021,49.0674067157865
BE,C,2022,48.58202056960486
BE,C,2023,49.30885250448278
BE,C,2024,49.052183715486805
BE,D,2021,84.38184806428049
BE,D,2022,85.2600243561409
BE,D,2023,85.53208627942361
BE,D,2024,86.60821729413787
BE,E,2021,58.53897375636507
BE,E,2022,55.84508906622291
BE,E,2023,58.98016195763641
BE,E,2024,59.28431547089193
BE,F,2021,14.578810346665042
BE,F,2022,14.351479344352743
BE,F,2023,14.869867903332024
BE,F,2024,14.938773755729045
BE,G,2021,29.965981639405374
BE,G,2022,30.113443480954878
BE,G,2023,28.668269903758592
BE,G,2024,28.3125344888768
BE,H,2021,50.921574236789404
BE,H,2022,51.72987902462529
BE,H,2023,52.45798092106686
BE,H,2024,51.09364870097943
BE,I,2021,8.60705255159872
BE,I,2022,8.034889744802577
BE,I,2023,7.68421600791543
BE,I,2024,7.949915281587865
BE,J,2021,32.54074492314134
BE,J,2022,31.242548959699985
BE,J,2023,31.66260987555868
BE,J,2024,31.79354792552272
BE,K,2021,59.31811493673015
BE,K,2022,57.944050890328654
BE,K,2023,58.48039175206653
BE,K,2024,59.068790910213664
BE,L,2021,0.0
BE,L,2022,0.0
BE,L,2023,0.0
BE,L,2024,1.4282511506455484
BE,M,2021,12.577525359931723
BE,M,2022,12.046709162887332
BE,M,2023,12.052476903343129
BE,M,2024,12.018799828614538
BE,N,2021,64.58300886499417
BE,N,2022,63.97602313005819
BE,N,2023,64.2988636826457
BE,N,2024,65.15961060880285
BE,P,2021,7.404306776429004
BE,P,2022,7.259667509938561
BE,P,2023,7.690118127045875
BE,P,2024,0.0
BE,Q,2021,63.824902796123006
BE,Q,2022,64.29462823850858
BE,Q,2023,63.96805025499004
BE,Q,2024,65.84252619263427
BE,R,2021,9.957218187245049
BE,R,2022,10.054462435589459
BE,R,2023,12.999579301640724
BE,R,2024,13.132453843916295
BG,B,2021,74.56090941676482
BG,B,2022,74.72872340425532
BG,B,2023,77.02465257441031
BG,B,2024,72.53225806451613
BG,C,2021,35.58674280987529
BG,C,2022,35.884850703132344
BG,C,2023,36.39596929604379
BG,C,2024,35.809389008816986
BG,D,2021,78.32538256613593
BG,D,2022,73.99963567915478
BG,D,2023,72.30990817979955
BG,D,2024,70.48890751773898
BG,E,2021,62.76863504356244
BG,E,2022,63.18159727847076
BG,E,2023,66.90906729863974
BG,E,2024,61.693077022989996
BG,F,2021,9.403726385042452
BG,F,2022,7.976505755565462
BG,F,2023,8.205641732952936
BG,F,2024,7.807999808788556
BG,G,2021,13.92833850471353
BG,G,2022,14.45017646528863
BG,G,2023,14.920845817861611
BG,G,2024,14.609478756425123
BG,H,2021,29.529743108304174
BG,H,2022,29.145272937231287
BG,H,2023,28.25093450349423
BG,H,2024,27.463450626514046
BG,I,2021,6.723113964686998
BG,I,2022,7.572980563151282
BG,I,2023,9.293174742335651
BG,I,2024,6.348218856724406
BG,J,2021,41.473450665995294
BG,J,2022,42.12405046760163
BG,J,2023,41.55994860955696
BG,J,2024,41.80763554875382
BG,K,2021,62.41274635191149
BG,K,2022,62.53453250659955
BG,K,2023,62.21263715474839
BG,K,2024,61.93535049247626
BG,L,2021,0.0
BG,L,2022,0.0
BG,L,2023,0.0
BG,L,2024,0.0
BG,M,2021,9.907123388330186
BG,M,2022,11.045882391525367
BG,M,2023,11.091134284230293
BG,M,2024,11.57801734493796
BG,N,2021,45.48699910097845
BG,N,2022,45.03440127875461
BG,N,2023,43.345295677952876
BG,N,2024,40.33576093274524
BG,P,2021,0.0
BG,P,2022,0.0
BG,P,2023,0.0
BG,P,2024,0.0
BG,Q,2021,18.679681559304147
BG,Q,2022,19.84540688669129
BG,Q,2023,21.168384879725085
BG,Q,2024,20.34750300513605
BG,R,2021,18.848410654734266
BG,R,2022,18.153188180404353
BG,R,2023,19.87360542296286
BG,R,2024,20.60368326574031
CH,B,2021,0.0
CH,B,2022,12.707423580786026
CH,B,2023,13.481416318451728
CH,B,2024,12.713004484304932
CH,C,2021,0.0
CH,C,2022,42.429441395383805
CH,C,2023,43.17411139209966
CH,C,2024,43.44317213694713
CH,D,2021,0.0
CH,D,2022,67.14888298703328
CH,D,2023,66.14294796112978
CH,D,2024,66.21465666474322
CH,E,2021,0.0
CH,E,2022,13.279560465252208
CH,E,2023,13.48237709592791
CH,E,2024,13.258086253369273
CH,F,2021,0.0
CH,F,2022,14.125765115969777
CH,F,2023,14.25924278355734
CH,F,2024,13.906833582734162
CH,G,2021,0.0
CH,G,2022,39.91042379684793
CH,G,2023,39.46737376451172
CH,G,2024,39.00192585620496
CH,H,2021,0.0
CH,H,2022,63.197422191640584
CH,H,2023,63.619037513467624
CH,H,2024,63.99708155860546
CH,I,2021,0.0
CH,I,2022,13.373419902935233
CH,I,2023,14.395349441188438
CH,I,2024,15.29052237981664
CH,J,2021,0.0
CH,J,2022,36.02148924037336
CH,J,2023,36.80574885676144
CH,J,2024,36.293436293436294
CH,K,2021,
CH,K,2022,
CH,K,2023,
CH,K,2024,
CH,L,2021,0.0
CH,L,2022,12.536283185840707
CH,L,2023,10.668526104767716
CH,L,2024,11.007361555543898
CH,M,2021,0.0
CH,M,2022,17.5262067569041
CH,M,2023,18.52526941264874
CH,M,2024,18.763983507957853
CH,N,2021,0.0
CH,N,2022,51.586936377561635
CH,N,2023,51.64956299566922
CH,N,2024,50.386042463185596
CH,P,2021,0.0
CH,P,2022,26.223224117512622
CH,P,2023,25.790064864755468
CH,P,2024,25.756032940199503
CH,Q,2021,0.0
CH,Q,2022,24.95353406616749
CH,Q,2023,28.189941216556168
CH,Q,2024,29.837738168408112
CH,R,2021,0.0
CH,R,2022,19.537636989040877
CH,R,2023,21.176385472435246
CH,R,2024,22.075064074178442
CY,B,2021,0.0
CY,B,2022,0.0
CY,B,2023,0.0
CY,B,2024,0.0
CY,C,2021,18.682891911238368
CY,C,2022,19.58677243005681
CY,C,2023,19.474452554744527
CY,C,2024,20.394911211237744
CY,D,2021,0.0
CY,D,2022,0.0
CY,D,2023,0.0
CY,D,2024,0.0
CY,E,2021,0.0
CY,E,2022,0.0
CY,E,2023,0.0
CY,E,2024,0.0
CY,F,2021,4.030851411751881
CY,F,2022,3.028769312733085
CY,F,2023,0.0
CY,F,2024,2.435961828227022
CY,G,2021,15.557309241319256
CY,G,2022,15.9768462968579
CY,G,2023,16.23872042136246
CY,G,2024,16.730863056261715
CY,H,2021,21.112199368810533
CY,H,2022,25.176224042674793
CY,H,2023,26.3404292906987
CY,H,2024,23.207415180132916
CY,I,2021,25.863460639789288
CY,I,2022,27.13976877526083
CY,I,2023,26.80576445486026
CY,I,2024,25.640937343962534
CY,J,2021,31.718863801893665
CY,J,2022,29.464370209141666
CY,J,2023,30.954640349212376
CY,J,2024,25.67139757407605
CY,K,2021,37.42559523809524
CY,K,2022,35.02902014339365
CY,K,2023,32.62298698433708
CY,K,2024,34.344000690071596
CY,L,2021,0.0
CY,L,2022,0.0
CY,L,2023,0.0
CY,L,2024,0.0
CY,M,2021,9.135523903539697
CY,M,2022,10.227982510930667
CY,M,2023,9.762994560138033
CY,M,2024,9.31180579411428
CY,N,2021,22.69831730769231
CY,N,2022,23.34494773519164
CY,N,2023,24.394869491440836
CY,N,2024,23.49291203283853
CY,P,2021,18.326693227091635
CY,P,2022,19.797199420569772
