geo,gdp,year
AT,45380.0,2021
AT,52330.0,2023
AT,55870.0,2025
BE,43680.0,2021
BE,51090.0,2023
BE,53930.0,2025
BG,10960.0,2021
BG,14660.0,2023
BG,18060.0,2025
CH,81610.0,2021
CH,96280.0,2023
CH,101810.0,2025
CY,27850.0,2021
CY,33870.0,2023
CY,36850.0,2025
CZ,23430.0,2021
CZ,29330.0,2023
CZ,31880.0,2025
DE,44910.0,2021
DE,50660.0,2023
DE,53520.0,2025
DK,58640.0,2021
DK,62760.0,2023
DK,69550.0,2025
EE,23650.0,2021
EE,28080.0,2023
EE,30380.0,2025
EL,17350.0,2021
EL,21300.0,2023
EL,23570.0,2025
ES,26090.0,2021
ES,30980.0,2023
ES,34210.0,2025
FI,44890.0,2021
FI,48950.0,2023
FI,49850.0,2025
FR,36910.0,2021
FR,41340.0,2023
FR,43350.0,2025
HR,15070.0,2021
HR,20530.0,2023
HR,23950.0,2025
HU,16090.0,2021
HU,20540.0,2023
HU,23000.0,2025
IE,88080.0,2021
IE,98340.0,2023
IE,110150.0,2025
IS,61360.0,2021
IS,77270.0,2023
IS,87410.0,2025
IT,31160.0,2021
IT,36330.0,2023
IT,38310.0,2025
LT,20190.0,2021
LT,25880.0,2023
LT,29170.0,2025
LU,113920.0,2021
LU,122970.0,2023
LU,130300.0,2025
LV,17130.0,2021
LV,21030.0,2023
LV,23410.0,2025
MT,32190.0,2021
MT,37810.0,2023
MT,42160.0,2025
NL,50850.0,2021
NL,58740.0,2023
NL,64710.0,2025
NO,81520.0,2021
NO,84120.0,2023
NO,83860.0,2025
PL,15770.0,2021
PL,19980.0,2023
PL,24680.0,2025
PT,20800.0,2021
PT,25560.0,2023
PT,28390.0,2025
RO,12590.0,2021
RO,16870.0,2023
RO,19960.0,2025
SE,51260.0,2021
SE,50490.0,2023
SE,56330.0,2025
SI,24690.0,2021
SI,30200.0,2023
SI,33060.0,2025
SK,18730.0,2021
SK,22640.0,2023
SK,25060.0,2025
