geo,hicp,year
AT,108.47,2020
AT,111.46,2021
AT,121.07,2022
AT,130.4,2023
AT,134.21,2024
BE,108.23,2020
BE,111.71,2021
BE,123.26,2022
BE,126.07,2023
BE,131.52,2024
BG,106.27,2020
BG,109.3,2021
BG,123.52,2022
BG,134.15,2023
BG,137.63,2024
CH,100.56,2020
CH,101.04,2021
CH,103.74,2022
CH,106.1,2023
CH,107.25,2024
CY,99.67,2020
CY,101.92,2021
CY,110.17,2022
CY,114.5,2023
CY,117.09,2024
CZ,111.4,2020
CZ,115.1,2021
CZ,132.1,2022
CZ,147.9,2023
CZ,151.9,2024
DE,105.8,2020
DE,109.2,2021
DE,118.7,2022
DE,125.9,2023
DE,129.0,2024
DK,102.9,2020
DK,104.9,2021
DK,113.8,2022
DK,117.6,2023
DK,119.1,2024
EE,109.8,2020
EE,114.72,2021
EE,137.03,2022
EE,149.52,2023
EE,155.1,2024
EL,101.17,2020
EL,101.75,2021
EL,111.21,2022
EL,115.84,2023
EL,119.31,2024
ES,103.91,2020
ES,107.04,2021
ES,115.95,2022
ES,119.89,2023
ES,123.33,2024
FI,103.98,2020
FI,106.12,2021
FI,113.74,2022
FI,118.67,2023
FI,119.83,2024
FR,105.5,2020
FR,107.68,2021
FR,114.04,2022
FR,120.5,2023
FR,123.29,2024
HR,103.06,2020
HR,105.82,2021
HR,117.11,2022
HR,126.94,2023
HR,132.04,2024
HU,113.15,2020
HU,119.04,2021
HU,137.22,2022
HU,160.59,2023
HU,166.56,2024
IE,101.2,2020
IE,103.6,2021
IE,112.0,2022
IE,117.8,2023
IE,119.4,2024
IS,103.06,2020
IS,106.84,2021
IS,112.96,2022
IS,121.96,2023
IS,127.47,2024
IT,103.0,2020
IT,105.0,2021
IT,114.2,2022
IT,120.9,2023
IT,122.3,2024
LT,110.63,2020
LT,115.75,2021
LT,137.57,2022
LT,149.52,2023
LT,150.79,2024
LU,105.93,2020
LU,109.61,2021
LU,118.55,2022
LU,122.02,2023
LU,124.77,2024
LV,108.62,2020
LV,112.14,2021
LV,131.47,2022
LV,143.38,2023
LV,145.32,2024
MT,106.37,2020
MT,107.12,2021
MT,113.69,2022
MT,120.01,2023
MT,122.94,2024
NL,106.96,2020
NL,109.98,2021
NL,122.78,2022
NL,127.81,2023
NL,131.92,2024
NO,112.8,2020
NO,117.2,2021
NO,124.5,2022
NO,131.6,2023
NO,135.4,2024
PL,108.6,2020
PL,114.3,2021
PL,129.4,2022
PL,143.5,2023
PL,148.7,2024
PT,103.58,2020
PT,104.55,2021
PT,113.03,2022
PT,118.98,2023
PT,122.15,2024
RO,110.67,2020
RO,115.21,2021
RO,129.06,2022
RO,141.64,2023
RO,149.91,2024
SE,107.63,2020
SE,110.49,2021
SE,119.39,2022
SE,126.44,2023
SE,128.98,2024
SI,104.82,2020
SI,106.97,2021
SI,116.94,2022
SI,125.38,2023
SI,127.87,2024
SK,108.47,2020
SK,111.53,2021
SK,125.05,2022
SK,138.79,2023
SK,143.17,2024
