geo,nace_r2,spec_ict,year
AT,C,28.74,2020
AT,C,28.37,2022
AT,C,30.02,2024
AT,D,40.63,2020
AT,D,48.06,2022
AT,D,47.21,2024
AT,E,23.4,2020
AT,E,27.69,2022
AT,E,25.2,2024
AT,F,8.24,2020
AT,F,9.03,2022
AT,F,7.12,2024
AT,G,16.25,2020
AT,G,22.79,2022
AT,G,18.57,2024
AT,H,12.28,2020
AT,H,16.96,2022
AT,H,12.04,2024
AT,I,3.51,2020
AT,I,9.37,2022
AT,I,5.87,2024
AT,J,88.96,2020
AT,J,80.81,2022
AT,J,80.74,2024
AT,L,26.38,2020
AT,L,31.21,2022
AT,L,29.09,2024
AT,M,30.41,2020
AT,M,35.97,2022
AT,M,27.08,2024
AT,N,17.98,2020
AT,N,16.83,2022
AT,N,16.19,2024
BE,C,31.54,2020
BE,C,35.46,2022
BE,C,35.31,2024
BE,D,64.92,2020
BE,D,77.27,2022
BE,D,63.12,2024
BE,E,23.26,2020
BE,E,27.69,2022
BE,E,25.2,2024
BE,F,17.12,2020
BE,F,15.14,2022
BE,F,10.97,2024
BE,G,27.02,2020
BE,G,33.1,2022
BE,G,29.86,2024
BE,H,24.48,2020
BE,H,30.36,2022
BE,H,30.67,2024
BE,I,9.26,2020
BE,I,14.46,2022
BE,I,7.9,2024
BE,J,87.15,2020
BE,J,85.93,2022
BE,J,79.31,2024
BE,L,19.24,2020
BE,L,22.9,2022
BE,L,20.93,2024
BE,M,40.52,2020
BE,M,48.23,2022
BE,M,39.57,2024
BE,N,26.95,2020
BE,N,27.55,2022
BE,N,24.2,2024
BG,C,15.16,2020
BG,C,14.73,2022
BG,C,15.53,2024
BG,D,39.94,2020
BG,D,46.26,2022
BG,D,29.93,2024
BG,E,19.07,2020
BG,E,22.08,2022
BG,E,19.98,2024
BG,F,9.33,2020
BG,F,5.39,2022
BG,F,8.44,2024
BG,G,13.33,2020
BG,G,13.92,2022
BG,G,16.97,2024
BG,H,9.29,2020
BG,H,7.87,2022
BG,H,15.48,2024
BG,I,10.22,2020
BG,I,9.5,2022
BG,I,7.8,2024
BG,J,67.16,2020
BG,J,68.99,2022
BG,J,71.95,2024
BG,L,19.5,2020
BG,L,22.58,2022
BG,L,20.49,2024
BG,M,23.61,2020
BG,M,27.34,2022
BG,M,24.06,2024
BG,N,14.08,2020
BG,N,13.52,2022
BG,N,13.34,2024
CY,C,14.23,2020
CY,C,16.29,2022
CY,C,14.93,2024
CY,D,62.85,2020
CY,D,61.23,2022
CY,D,100.0,2024
CY,E,26.06,2020
CY,E,25.39,2022
CY,E,27.72,2024
CY,F,13.63,2020
CY,F,12.17,2022
CY,F,12.7,2024
CY,G,23.31,2020
CY,G,21.8,2022
CY,G,23.57,2024
CY,H,40.18,2020
CY,H,32.67,2022
CY,H,37.73,2024
CY,I,15.59,2020
CY,I,16.39,2022
CY,I,18.44,2024
CY,J,81.86,2020
CY,J,73.14,2022
CY,J,84.75,2024
CY,L,11.8,2020
CY,L,11.5,2022
CY,L,22.73,2024
CY,M,37.68,2020
CY,M,36.71,2022
CY,M,40.71,2024
CY,N,32.96,2020
CY,N,32.22,2022
CY,N,30.88,2024
CZ,C,21.66,2020
CZ,C,21.42,2022
CZ,C,23.05,2024
CZ,D,19.23,2020
CZ,D,19.19,2022
CZ,D,20.57,2024
CZ,E,19.15,2020
CZ,E,19.11,2022
CZ,E,17.34,2024
CZ,F,7.24,2020
CZ,F,7.29,2022
CZ,F,6.94,2024
CZ,G,17.93,2020
CZ,G,19.29,2022
CZ,G,19.57,2024
CZ,H,7.93,2020
CZ,H,11.04,2022
CZ,H,14.29,2024
CZ,I,4.02,2020
CZ,I,4.2,2022
CZ,I,3.78,2024
CZ,J,85.3,2020
CZ,J,83.49,2022
CZ,J,84.2,2024
CZ,L,16.29,2020
CZ,L,16.25,2022
CZ,L,19.4,2024
CZ,M,25.68,2020
CZ,M,25.62,2022
CZ,M,25.26,2024
CZ,N,10.67,2020
CZ,N,15.73,2022
CZ,N,12.66,2024
DE,C,24.97,2020
DE,C,25.82,2022
DE,C,26.81,2024
DE,D,43.77,2020
DE,D,55.87,2022
DE,D,59.89,2024
DE,E,18.59,2020
DE,E,23.73,2022
DE,E,24.99,2024
DE,F,4.98,2020
DE,F,7.95,2022
DE,F,6.96,2024
DE,G,19.84,2020
DE,G,19.83,2022
DE,G,21.33,2024
DE,H,12.38,2020
DE,H,17.23,2022
DE,H,16.52,2024
DE,I,5.08,2020
DE,I,5.35,2022
DE,I,7.1,2024
DE,J,71.32,2020
DE,J,80.58,2022
DE,J,82.15,2024
DE,L,17.56,2020
DE,L,22.41,2022
DE,L,25.06,2024
DE,M,23.98,2020
DE,M,30.61,2022
DE,M,32.29,2024
DE,N,15.94,2020
DE,N,20.56,2022
DE,N,18.25,2024
DK,C,30.07,2020
DK,C,31.99,2022
DK,C,26.96,2024
DK,D,50.89,2020
DK,D,66.03,2022
DK,D,70.25,2024
DK,E,31.41,2020
DK,E,40.76,2022
DK,E,26.21,2024
DK,F,8.87,2020
DK,F,10.18,2022
DK,F,9.55,2024
DK,G,26.13,2020
DK,G,33.44,2022
DK,G,29.91,2024
DK,H,18.03,2020
DK,H,29.97,2022
DK,H,26.81,2024
DK,I,8.96,2020
DK,I,19.82,2022
DK,I,17.64,2024
DK,J,87.13,2020
DK,J,89.16,2022
DK,J,86.46,2024
DK,L,19.01,2020
DK,L,24.66,2022
DK,L,23.44,2024
DK,M,36.29,2020
DK,M,47.08,2022
DK,M,44.06,2024
DK,N,29.41,2020
DK,N,32.23,2022
DK,N,25.58,2024
EE,C,14.83,2020
EE,C,14.37,2022
EE,C,16.71,2024
EE,D,22.52,2020
EE,D,22.27,2022
EE,D,33.15,2024
EE,E,29.61,2020
EE,E,29.28,2022
EE,E,21.94,2024
EE,F,6.0,2020
EE,F,3.84,2022
EE,F,6.04,2024
EE,G,14.9,2020
EE,G,16.24,2022
EE,G,17.98,2024
EE,H,11.33,2020
EE,H,11.75,2022
EE,H,13.64,2024
EE,I,6.69,2020
EE,I,6.31,2022
EE,I,7.3,2024
EE,J,83.26,2020
EE,J,83.59,2022
EE,J,80.86,2024
EE,L,8.5,2020
EE,L,8.4,2022
EE,L,14.33,2024
EE,M,21.16,2020
EE,M,20.92,2022
EE,M,34.47,2024
EE,N,15.14,2020
EE,N,19.44,2022
EE,N,15.5,2024
EL,C,17.71,2020
EL,C,17.08,2022
EL,C,19.06,2024
EL,D,37.19,2020
EL,D,46.07,2022
EL,D,37.41,2024
EL,E,18.08,2020
EL,E,22.4,2022
EL,E,25.93,2024
EL,F,12.7,2020
EL,F,12.72,2022
EL,F,15.27,2024
EL,G,18.51,2020
EL,G,24.06,2022
EL,G,19.47,2024
EL,H,28.35,2020
EL,H,27.38,2022
EL,H,40.1,2024
EL,I,13.11,2020
EL,I,14.11,2022
EL,I,14.4,2024
EL,J,56.01,2020
EL,J,70.58,2022
EL,J,72.5,2024
EL,L,28.58,2020
EL,L,35.41,2022
EL,L,24.58,2024
EL,M,27.64,2020
EL,M,34.24,2022
EL,M,41.83,2024
EL,N,21.44,2020
EL,N,22.69,2022
EL,N,28.15,2024
ES,C,17.03,2020
ES,C,13.05,2022
ES,C,13.9,2024
ES,D,41.56,2020
ES,D,48.06,2022
ES,D,47.21,2024
ES,E,18.0,2020
ES,E,20.82,2022
ES,E,16.06,2024
ES,F,7.48,2020
ES,F,6.03,2022
ES,F,4.45,2024
ES,G,17.21,2020
ES,G,17.6,2022
ES,G,14.04,2024
ES,H,16.57,2020
ES,H,11.18,2022
ES,H,10.39,2024
ES,I,4.43,2020
ES,I,6.18,2022
ES,I,4.14,2024
ES,J,60.49,2020
ES,J,66.52,2022
ES,J,62.04,2024
ES,L,14.27,2020
ES,L,16.5,2022
ES,L,11.19,2024
ES,M,26.03,2020
ES,M,30.1,2022
ES,M,27.59,2024
ES,N,14.17,2020
ES,N,13.61,2022
ES,N,12.39,2024
FI,C,34.04,2020
FI,C,33.07,2022
FI,C,33.73,2024
FI,D,44.83,2020
FI,D,48.06,2022
FI,D,47.21,2024
FI,E,25.82,2020
FI,E,27.69,2022
FI,E,25.2,2024
FI,F,8.67,2020
FI,F,13.56,2022
FI,F,15.61,2024
FI,G,24.47,2020
FI,G,25.66,2022
FI,G,26.54,2024
FI,H,16.46,2020
FI,H,15.8,2022
FI,H,16.43,2024
FI,I,9.64,2020
FI,I,8.67,2022
FI,I,10.26,2024
FI,J,86.91,2020
FI,J,88.7,2022
FI,J,83.22,2024
FI,L,19.66,2020
FI,L,21.08,2022
FI,L,26.04,2024
