geo,infl_r,year
AT,2.8,2021
AT,7.7,2023
AT,3.6,2025
BE,3.2,2021
BE,2.3,2023
BE,3.0,2025
BG,2.8,2021
BG,8.6,2023
BG,3.5,2025
CH,0.5,2021
CH,2.3,2023
CH,0.1,2025
CY,2.3,2021
CY,3.9,2023
CY,0.8,2025
CZ,3.3,2021
CZ,12.0,2023
CZ,2.3,2025
DE,3.2,2021
DE,6.0,2023
DE,2.3,2025
DK,1.9,2021
DK,3.4,2023
DK,1.8,2025
EE,4.5,2021
EE,9.1,2023
EE,4.8,2025
EL,0.6,2021
EL,4.2,2023
EL,2.9,2025
ES,3.0,2021
ES,3.4,2023
ES,2.7,2025
FI,2.1,2021
FI,4.3,2023
FI,1.8,2025
FR,2.1,2021
FR,5.7,2023
FR,0.9,2025
HR,2.7,2021
HR,8.4,2023
HR,4.4,2025
HU,5.2,2021
HU,17.0,2023
HU,4.4,2025
IE,2.4,2021
IE,5.2,2023
IE,2.1,2025
IS,3.7,2021
IS,8.0,2023
IS,3.7,2025
IT,2.0,2021
IT,5.9,2023
IT,1.6,2025
LT,4.6,2021
LT,8.7,2023
LT,3.4,2025
LU,3.5,2021
LU,2.9,2023
LU,2.5,2025
LV,3.2,2021
LV,9.1,2023
LV,3.8,2025
MT,0.7,2021
MT,5.6,2023
MT,2.4,2025
NL,2.8,2021
NL,4.1,2023
NL,3.0,2025
NO,3.9,2021
NO,5.7,2023
NO,2.8,2025
PL,5.2,2021
PL,10.8,2023
PL,3.3,2025
PT,0.9,2021
PT,5.3,2023
PT,2.2,2025
RO,4.1,2021
RO,9.7,2023
RO,6.8,2025
SE,2.7,2021
SE,5.9,2023
SE,2.6,2025
SI,2.0,2021
SI,7.2,2023
SI,2.5,2025
SK,2.8,2021
SK,11.0,2023
SK,4.2,2025
