geo,nace_r2,real_wage,year,log_wage,ai_adoption,tert_edu,productivity,log_prod,spec_ict,training_ict
AT,C,26.74,2021,3.29,9.61,31.8,102.25,4.63,28.74,20.37
AT,C,26.07,2023,3.26,12.31,33.5,108.93,4.69,28.37,25.6
AT,F,22.43,2021,3.11,3.12,21.2,75.26,4.32,8.24,9.65
AT,F,20.32,2023,3.01,4.28,22.5,86.76,4.46,9.03,6.91
AT,G,21.35,2021,3.06,6.94,23.1,66.47,4.2,16.25,17.43
AT,G,20.48,2023,3.02,8.35,24.5,69.31,4.24,22.79,22.01
AT,H,21.71,2021,3.08,6.98,21.8,81.5,4.4,12.28,10.97
AT,H,22.01,2023,3.09,8.31,23.4,100.55,4.61,16.96,14.76
AT,I,12.83,2021,2.55,3.31,20.1,32.69,3.49,3.51,5.46
AT,I,12.88,2023,2.56,3.63,23.3,59.15,4.08,9.37,5.11
AT,J,31.4,2021,3.45,30.27,63.0,110.37,4.7,88.96,76.0
AT,J,30.6,2023,3.42,37.05,66.7,112.15,4.72,80.81,69.36
AT,M,29.52,2021,3.39,20.93,63.5,71.13,4.26,30.41,28.46
AT,M,30.67,2023,3.42,25.82,62.2,74.29,4.31,35.97,34.19
AT,N,18.3,2021,2.91,6.48,26.1,58.95,4.08,17.98,17.82
AT,N,17.33,2023,2.85,7.78,27.4,67.72,4.22,16.83,13.52
BG,C,4.67,2021,1.54,2.88,15.0,13.66,2.61,15.16,5.38
BG,C,5.22,2023,1.65,2.55,15.2,22.17,3.1,14.73,6.47
BG,G,4.94,2021,1.6,2.47,24.4,19.51,2.97,13.33,4.43
BG,G,5.37,2023,1.68,2.5,25.6,24.74,3.21,13.92,7.99
BG,H,4.67,2021,1.54,1.92,20.7,14.44,2.67,9.29,5.5
BG,H,5.29,2023,1.67,1.9,22.5,18.02,2.89,7.87,5.61
BG,J,12.53,2021,2.53,20.82,76.7,39.42,3.67,67.16,48.45
BG,J,13.12,2023,2.57,21.4,75.8,49.32,3.9,68.99,50.56
BG,M,8.51,2021,2.14,3.68,82.2,23.32,3.15,23.61,14.75
BG,M,8.95,2023,2.19,9.65,82.6,28.83,3.36,27.34,19.12
BG,N,4.12,2021,1.42,2.88,17.7,11.98,2.48,14.08,4.66
BG,N,4.55,2023,1.52,6.16,20.4,17.3,2.85,13.52,9.69
CY,C,10.2,2021,2.32,2.05,27.6,37.62,3.63,14.23,19.69
CY,C,9.87,2023,2.29,3.81,33.5,42.27,3.74,16.29,20.51
CY,F,12.17,2021,2.5,0.21,23.8,29.04,3.37,13.63,13.51
CY,F,11.79,2023,2.47,1.31,25.7,35.16,3.56,12.17,15.2
CY,G,9.62,2021,2.26,1.06,36.7,39.02,3.66,23.31,23.87
CY,G,9.61,2023,2.26,2.1,37.4,42.47,3.75,21.8,25.26
CY,H,13.83,2021,2.63,7.14,50.5,69.38,4.24,40.18,32.41
CY,H,13.62,2023,2.61,7.01,50.7,79.33,4.37,32.67,32.87
CY,I,6.87,2021,1.93,0.45,35.1,23.6,3.16,15.59,17.77
CY,I,7.6,2023,2.03,1.22,31.6,37.65,3.63,16.39,20.97
CY,J,22.47,2021,3.11,18.98,79.6,110.16,4.7,81.86,73.62
CY,J,26.72,2023,3.29,25.95,85.4,127.86,4.85,73.14,68.18
CY,L,12.76,2021,2.55,0.0,76.5,722.1,6.58,11.8,15.15
CY,L,12.4,2023,2.52,3.91,73.8,837.98,6.73,11.5,19.17
CY,M,16.09,2021,2.78,4.39,83.7,55.37,4.01,37.68,34.33
CY,M,15.98,2023,2.77,7.66,81.0,56.91,4.04,36.71,43.44
CY,N,11.58,2021,2.45,3.1,36.6,36.0,3.58,32.96,21.8
CY,N,12.05,2023,2.49,9.03,40.7,46.68,3.84,32.22,37.76
CZ,C,9.47,2021,2.25,4.19,13.4,35.7,3.58,21.66,27.6
CZ,C,8.86,2023,2.18,6.01,14.0,48.8,3.89,21.42,23.76
CZ,D,14.34,2021,2.66,6.59,25.7,152.86,5.03,19.23,31.46
CZ,D,14.47,2023,2.67,7.78,22.6,230.86,5.44,19.19,31.59
CZ,E,8.51,2021,2.14,2.87,13.9,38.06,3.64,19.15,23.9
CZ,E,8.05,2023,2.09,3.98,13.4,44.74,3.8,19.11,24.0
CZ,F,8.77,2021,2.17,0.35,16.6,30.66,3.42,7.24,17.42
CZ,F,7.98,2023,2.08,1.34,17.0,38.81,3.66,7.29,17.22
CZ,G,9.3,2021,2.23,4.21,14.6,36.3,3.59,17.93,24.31
CZ,G,8.45,2023,2.13,5.16,15.4,44.83,3.8,19.29,20.14
CZ,H,8.51,2021,2.14,3.34,10.4,35.54,3.57,7.93,12.35
CZ,H,7.98,2023,2.08,4.42,11.2,44.9,3.8,11.04,13.86
CZ,I,7.04,2021,1.95,0.93,7.0,16.57,2.81,4.02,9.24
CZ,I,5.07,2023,1.62,2.63,9.4,28.11,3.34,4.2,6.8
CZ,J,15.9,2021,2.77,21.22,59.6,91.12,4.51,85.3,74.0
CZ,J,15.35,2023,2.73,24.76,57.5,107.16,4.67,83.49,67.85
CZ,L,9.47,2021,2.25,4.51,33.6,290.37,5.67,16.29,21.93
CZ,L,8.72,2023,2.17,4.92,33.8,315.22,5.75,16.25,22.02
CZ,M,12.68,2021,2.54,9.28,63.6,37.72,3.63,25.68,40.77
CZ,M,11.83,2023,2.47,9.42,60.4,45.82,3.82,25.62,40.94
CZ,N,6.6,2021,1.89,3.1,15.1,26.5,3.28,10.67,16.59
CZ,N,6.15,2023,1.82,5.43,17.0,35.16,3.56,15.73,18.22
DE,C,29.85,2021,3.4,9.19,30.8,91.55,4.52,24.97,26.58
DE,C,28.12,2023,3.34,9.32,31.6,106.71,4.67,25.82,27.82
DE,D,37.73,2021,3.63,24.08,47.6,149.83,5.01,43.77,45.47
DE,D,37.73,2023,3.63,22.65,48.2,342.61,5.84,55.87,63.28
DE,E,24.27,2021,3.19,7.2,19.9,118.32,4.77,18.59,25.09
DE,E,23.67,2023,3.16,8.08,18.0,130.64,4.87,23.73,34.91
DE,F,22.89,2021,3.13,8.29,18.4,62.01,4.13,4.98,12.14
