geo,nace_r2,year,productivity
AT,A,2021,31777.92
BE,A,2021,54960.2
BG,A,2021,5798.61
CH,A,2021,35988.95
CY,A,2021,24417.72
CZ,A,2021,29427.37
DE,A,2021,47946.46
DK,A,2021,56757.91
EE,A,2021,34381.33
EL,A,2021,12918.55
ES,A,2021,42527.98
FI,A,2021,61242.87
FR,A,2021,51635.06
HR,A,2021,18285.02
HU,A,2021,30522.36
IE,A,2021,42271.9
IS,A,2021,134829.55
IT,A,2021,36020.9
LI,A,2021,40000.0
LT,A,2021,25880.06
LU,A,2021,31552.11
LV,A,2021,19047.69
MT,A,2021,40163.04
NL,A,2021,73393.03
NO,A,2021,103065.15
PL,A,2021,8695.14
PT,A,2021,15049.03
RO,A,2021,6084.78
SE,A,2021,44860.87
SI,A,2021,11280.84
SK,A,2021,27881.27
AT,,2021,27335.76
AT,,2021,182477.7
AT,,2021,8005217.39
AT,,2021,5022.57
AT,,2021,41562.08
AT,,2021,227449.04
AT,,2021,106674.39
AT,,2021,60775.71
AT,,2021,220635.11
AT,,2021,392579.96
AT,,2021,2273086.42
AT,,2021,179804.69
AT,,2021,208162.8
AT,,2021,120418.57
AT,,2021,60665.57
AT,,2021,122257.64
AT,,2021,95423.68
AT,,2021,31156.61
AT,,2021,46261.31
AT,,2021,120932.68
AT,,2021,77819.1
AT,,2021,40501.54
AT,,2021,100722.1
AT,,2021,73150.58
AT,,2021,267034.08
AT,,2021,51502.1
AT,,2021,82974.31
AT,,2021,135781.71
AT,,2021,130720.62
AT,,2021,1496910.57
AT,,2021,165873.87
AT,,2021,3170.49
AT,,2021,44238.35
AT,,2021,16957.86
AT,,2021,9475.34
AT,,2021,29452.13
AT,,2021,6819259.26
AT,,2021,465537.29
AT,,2021,63786.59
AT,,2021,139326.52
AT,,2021,240837.15
AT,,2021,122338.87
AT,,2021,248642.81
AT,,2021,266647.36
AT,,2021,38967.2
AT,,2021,50005.43
AT,,2021,130212.16
AT,,2021,133034.68
AT,,2021,49574.58
AT,,2021,17112.32
AT,,2021,24822.38
AT,,2021,55092.76
AT,,2021,182116.72
AT,,2021,109595.24
AT,,2021,62035.04
AT,,2021,142950.31
AT,,2021,6537.42
AT,,2021,304834.44
AT,,2021,38684.74
AT,,2021,310751.05
AT,,2021,24649.57
AT,,2021,3402.48
AT,,2021,13427.65
AT,,2021,11621.9
AT,,2021,12189.74
AT,,2021,19473.29
AT,,2021,18249.58
AT,,2021,90901.01
AT,,2021,152354.16
AT,,2021,74967.43
AT,,2021,1014435.26
AT,,2021,49434.82
AT,,2021,806.56
BE,,2021,54717.73
BE,,2021,1766166.67
BE,,2021,7947750.0
BE,,2021,5707.54
BE,,2021,31383.02
BE,,2021,162198.98
BE,,2021,210536.42
BE,,2021,82574.03
BE,,2021,269415.25
BE,,2021,271717.95
BE,,2021,706466.67
BE,,2021,72582.19
BE,,2021,109247.42
BE,,2021,125161.42
BE,,2021,59757.52
BE,,2021,114356.12
BE,,2021,127674.7
BE,,2021,41940.63
BE,,2021,62457.76
BE,,2021,308650.49
BE,,2021,219248.28
BE,,2021,105268.21
BE,,2021,111157.34
BE,,2021,90059.49
BE,,2021,474492.54
BE,,2021,70490.02
BE,,2021,155838.24
BE,,2021,129231.71
BE,,2021,170005.35
BE,,2021,423880.0
BE,,2021,117309.96
BE,,2021,3245.64
BE,,2021,43789.26
BE,,2021,15824.29
BE,,2021,10558.29
BE,,2021,25804.38
BE,,2021,963363.64
BE,,2021,489092.31
BE,,2021,32909.94
BE,,2021,84326.26
BE,,2021,341838.71
BE,,2021,141924.11
BE,,2021,244546.15
BE,,2021,158955.0
BE,,2021,36126.14
BE,,2021,59870.06
BE,,2021,131912.86
BE,,2021,97518.4
BE,,2021,112335.69
BE,,2021,5233.95
BE,,2021,5823.59
BE,,2021,51776.87
BE,,2021,237246.27
BE,,2021,179610.17
BE,,2021,77919.12
BE,,2021,137623.38
BE,,2021,2810.38
BE,,2021,206435.06
BE,,2021,15769.35
BE,,2021,481681.82
BE,,2021,12923.17
BE,,2021,2114.61
BE,,2021,7121.64
BE,,2021,7510.28
BE,,2021,9727.97
BE,,2021,10358.75
BE,,2021,18302.25
BE,,2021,129759.18
BE,,2021,165578.12
BE,,2021,72582.19
BE,,2021,599830.19
BE,,2021,52373.97
BE,,2021,641.28
BG,,2021,5491.63
BG,,2021,129879.29
BG,,2021,1705853.66
BG,,2021,4132.17
BG,,2021,24514.55
BG,,2021,24691.97
BG,,2021,138563.65
BG,,2021,71936.23
BG,,2021,276442.69
BG,,2021,326060.61
BG,,2021,1170543.93
BG,,2021,183328.96
BG,,2021,324924.51
BG,,2021,83435.73
BG,,2021,49550.12
BG,,2021,122059.34
BG,,2021,206160.65
BG,,2021,40574.33
BG,,2021,50516.43
BG,,2021,189539.3
BG,,2021,95416.1
BG,,2021,69522.86
BG,,2021,124227.35
BG,,2021,96668.97
BG,,2021,436443.06
BG,,2021,51247.48
BG,,2021,76249.66
BG,,2021,156290.5
BG,,2021,91127.04
BG,,2021,171526.67
BG,,2021,118191.8
BG,,2021,3303.3
BG,,2021,50810.03
BG,,2021,15814.58
BG,,2021,9997.14
BG,,2021,18627.07
BG,,2021,1705853.66
BG,,2021,1457083.33
BG,,2021,78694.8
BG,,2021,134177.46
BG,,2021,471770.66
BG,,2021,190832.2
BG,,2021,320458.19
BG,,2021,130728.97
BG,,2021,32001.83
BG,,2021,58797.81
BG,,2021,296042.33
BG,,2021,275083.58
BG,,2021,113354.94
BG,,2021,40924.52
BG,,2021,57753.92
BG,,2021,140441.77
BG,,2021,203609.9
BG,,2021,233522.54
BG,,2021,77862.51
BG,,2021,116858.81
BG,,2021,11247.09
BG,,2021,750026.81
BG,,2021,210187.83
BG,,2021,536967.37
BG,,2021,25796.22
BG,,2021,4828.61
BG,,2021,12860.75
BG,,2021,15811.9
BG,,2021,21380.21
BG,,2021,51730.77
BG,,2021,24356.61
BG,,2021,77175.17
BG,,2021,218562.5
BG,,2021,130667.91
BG,,2021,284598.17
BG,,2021,80925.66
BG,,2021,820.79
CY,,2021,22493.17
CY,,2021,539836.07
CY,,2021,609814.81
CY,,2021,8305.17
CY,,2021,25099.09
CY,,2021,304907.41
CY,,2021,140127.66
CY,,2021,84871.13
CY,,2021,463802.82
CY,,2021,401585.37
CY,,2021,32930000.0
CY,,2021,548833.33
CY,,2021,151055.05
CY,,2021,316634.62
CY,,2021,99186.75
CY,,2021,144429.82
CY,,2021,748409.09
CY,,2021,74502.26
CY,,2021,82738.69
CY,,2021,1937058.82
CY,,2021,715869.57
CY,,2021,621320.75
CY,,2021,1733157.89
CY,,2021,1266538.46
CY,,2021,4116250.0
CY,,2021,82119.7
CY,,2021,196011.9
CY,,2021,141330.47
CY,,2021,138945.15
CY,,2021,784047.62
CY,,2021,143799.13
CY,,2021,2451.43
CY,,2021,35561.56
CY,,2021,14212.34
CY,,2021,7627.98
CY,,2021,60644.57
CY,,2021,1266538.46
CY,,2021,2058125.0
CY,,2021,37000.0
CY,,2021,132249.0
CY,,2021,211089.74
CY,,2021,88521.51
CY,,2021,152453.7
CY,,2021,77300.47
CY,,2021,31572.39
CY,,2021,23810.56
CY,,2021,165477.39
CY,,2021,43158.58
CY,,2021,101635.8
CY,,2021,11836.81
CY,,2021,14157.35
CY,,2021,72056.89
CY,,2021,1372083.33
CY,,2021,117188.61
CY,,2021,51858.27
CY,,2021,93022.6
CY,,2021,6686.29
CY,,2021,224013.61
CY,,2021,208417.72
CY,,2021,212451.61
CY,,2021,32158.2
CY,,2021,3544.29
CY,,2021,9693.85
CY,,2021,9349.8
CY,,2021,17097.61
CY,,2021,73834.08
CY,,2021,7606.84
CY,,2021,72533.04
CY,,2021,72056.89
CY,,2021,89241.19
CY,,2021,439066.67
CY,,2021,38650.23
CY,,2021,710.11
CZ,,2021,28859.29
CZ,,2021,178392.5
CZ,,2021,2565815.6
CZ,,2021,2450.37
CZ,,2021,29185.22
CZ,,2021,74379.11
CZ,,2021,73682.28
CZ,,2021,38352.59
CZ,,2021,162378.82
CZ,,2021,157638.34
CZ,,2021,3381121.5
CZ,,2021,109930.11
CZ,,2021,277864.82
CZ,,2021,39043.82
CZ,,2021,23911.43
CZ,,2021,61695.09
CZ,,2021,81518.7
CZ,,2021,14755.09
CZ,,2021,18016.04
CZ,,2021,78037.1
CZ,,2021,32004.6
CZ,,2021,27549.5
CZ,,2021,18443.11
CZ,,2021,16252.47
CZ,,2021,136830.56
CZ,,2021,27876.41
CZ,,2021,49558.9
CZ,,2021,63704.88
CZ,,2021,89549.5
CZ,,2021,192641.11
CZ,,2021,84904.95
CZ,,2021,3049.21
CZ,,2021,38295.76
CZ,,2021,14130.38
CZ,,2021,10590.75
CZ,,2021,18450.63
CZ,,2021,6237586.21
CZ,,2021,2032471.91
CZ,,2021,40814.53
CZ,,2021,100132.85
CZ,,2021,212937.02
CZ,,2021,133056.27
CZ,,2021,354338.88
CZ,,2021,163553.35
CZ,,2021,30506.79
CZ,,2021,65397.69
CZ,,2021,290586.35
CZ,,2021,142826.69
CZ,,2021,36995.6
CZ,,2021,18957.24
CZ,,2021,33675.88
CZ,,2021,43373.7
CZ,,2021,132374.68
CZ,,2021,103661.89
CZ,,2021,39431.06
CZ,,2021,63637.64
CZ,,2021,7836.16
CZ,,2021,311610.68
CZ,,2021,618427.35
CZ,,2021,386930.48
CZ,,2021,28951.66
CZ,,2021,3388.5
CZ,,2021,10887.48
CZ,,2021,10387.62
CZ,,2021,12886.66
CZ,,2021,34014.67
CZ,,2021,19659.82
CZ,,2021,79077.6
CZ,,2021,122181.7
CZ,,2021,183831.3
CZ,,2021,254237.53
CZ,,2021,56264.39
CZ,,2021,685.29
DE,,2021,47919.48
DE,,2021,624121.95
DE,,2021,6397250.0
DE,,2021,3167.74
DE,,2021,27544.67
DE,,2021,204712.0
DE,,2021,184093.53
DE,,2021,62872.24
DE,,2021,189548.15
DE,,2021,192398.5
DE,,2021,1279450.0
DE,,2021,70106.85
DE,,2021,178944.06
DE,,2021,59233.8
DE,,2021,38078.87
DE,,2021,106620.83
DE,,2021,102767.07
DE,,2021,22685.28
DE,,2021,29111.49
DE,,2021,68603.22
DE,,2021,52652.26
DE,,2021,22387.58
DE,,2021,29514.42
DE,,2021,25310.58
DE,,2021,177701.39
DE,,2021,38306.89
DE,,2021,62412.2
DE,,2021,99182.17
DE,,2021,94077.21
DE,,2021,775424.24
DE,,2021,98042.15
DE,,2021,2583.7
DE,,2021,30426.87
DE,,2021,13698.61
DE,,2021,8024.15
DE,,2021,27251.33
DE,,2021,1112565.22
DE,,2021,406174.6
DE,,2021,32350.19
DE,,2021,45613.19
DE,,2021,170593.33
DE,,2021,92046.76
DE,,2021,199914.06
DE,,2021,234761.47
DE,,2021,24232.01
DE,,2021,44348.35
DE,,2021,162987.26
DE,,2021,72903.13
DE,,2021,52760.82
DE,,2021,11287.6
DE,,2021,17348.47
DE,,2021,32309.34
DE,,2021,104872.95
DE,,2021,116844.75
DE,,2021,55030.11
DE,,2021,104020.33
DE,,2021,4196.98
DE,,2021,174074.83
DE,,2021,30572.28
DE,,2021,308301.2
DE,,2021,12458.13
DE,,2021,2183.18
DE,,2021,9109.65
DE,,2021,9703.83
DE,,2021,7579.68
DE,,2021,8826.84
DE,,2021,8434.08
DE,,2021,64132.83
DE,,2021,96928.03
DE,,2021,36399.72
DE,,2021,482811.32
DE,,2021,37139.33
DE,,2021,568.13
DK,,2021,53333.33
DK,,2021,646652.81
DK,,2021,1370220.26
DK,,2021,9743.45
DK,,2021,62395.19
DK,,2021,577068.65
DK,,2021,335896.33
DK,,2021,169689.03
DK,,2021,670344.83
DK,,2021,702121.9
DK,,2021,6617872.34
DK,,2021,251447.05
DK,,2021,118853.65
DK,,2021,257057.85
DK,,2021,116976.31
DK,,2021,214658.39
DK,,2021,627096.77
DK,,2021,79712.97
DK,,2021,91321.2
DK,,2021,192356.22
DK,,2021,315136.78
DK,,2021,63258.08
DK,,2021,864000.0
DK,,2021,469140.27
DK,,2021,1023157.89
DK,,2021,98774.21
DK,,2021,169319.54
DK,,2021,237073.17
