geo,nace_r2,year,share_high_skill
AT,C,2020,35.562831306517
AT,C,2021,36.57929418655733
AT,C,2022,37.32057416267942
AT,C,2023,38.7119704293432
AT,C,2024,40.12682495207196
AT,C,2025,42.40705734089478
AT,F,2020,26.17719950433705
AT,F,2021,25.296833773087073
AT,F,2022,27.46643315820198
AT,F,2023,28.69352869352869
AT,F,2024,29.30074257425742
AT,F,2025,28.70118074477747
AT,G,2020,25.14177693761815
AT,G,2021,25.065002600104002
AT,G,2022,25.970572593511786
AT,G,2023,28.116938950988825
AT,G,2024,26.423256618792184
AT,G,2025,27.200141944641587
AT,H,2020,24.490762671719565
AT,H,2021,23.549000951474788
AT,H,2022,24.201596806387222
AT,H,2023,22.08796520057999
AT,H,2024,23.230844314299656
AT,H,2025,22.110792741165234
AT,J,2020,86.49080735411671
AT,J,2021,85.37490720118784
AT,J,2022,87.62026940346375
AT,J,2023,88.54961832061069
AT,J,2024,89.53488372093022
AT,J,2025,87.47016706443914
AT,K,2020,62.15629522431259
AT,K,2021,61.240310077519375
AT,K,2022,62.27810650887575
AT,K,2023,59.65787598004275
AT,K,2024,59.94338287331917
AT,K,2025,67.17062634989202
AT,M,2020,79.15057915057915
AT,M,2021,79.01614142966949
AT,M,2022,77.79960707269156
AT,M,2023,79.91772625280478
AT,M,2024,80.99964551577455
AT,M,2025,80.39492242595205
AT,N,2020,21.763869132290186
AT,N,2021,21.303433777154872
AT,N,2022,20.980392156862745
AT,N,2023,22.77486910994764
AT,N,2024,19.727891156462583
AT,N,2025,17.594936708860757
AT,O,2020,57.3781983876621
AT,O,2021,56.88502673796791
AT,O,2022,57.869249394673126
AT,O,2023,59.130434782608695
AT,O,2024,59.545753785385116
AT,O,2025,59.361571516267645
AT,P,2020,83.17426652527395
AT,P,2021,82.6222684703434
AT,P,2022,81.51757744517924
AT,P,2023,82.8921244209133
AT,P,2024,81.7289423685877
AT,P,2025,80.50015827793605
AT,Q,2020,63.8655462184874
AT,Q,2021,64.13438904344105
AT,Q,2022,65.04975124378109
AT,Q,2023,64.70465018852116
AT,Q,2024,64.03399668325042
AT,Q,2025,65.04540867810293
AT,S,2020,37.961335676625666
AT,S,2021,37.28813559322034
AT,S,2022,35.34743202416918
AT,S,2023,37.02623906705539
AT,S,2024,34.06113537117904
AT,S,2025,35.41076487252124
BE,C,2020,39.03614457831325
BE,C,2021,38.71912168344007
BE,C,2022,38.39898807372606
BE,C,2023,39.036101725057804
BE,C,2024,41.485958051901875
BE,C,2025,40.53863756380919
BE,F,2020,26.26875199489307
BE,F,2021,26.554787759131298
BE,F,2022,25.527009222661395
BE,F,2023,23.77600979192166
BE,F,2024,26.070154577883475
BE,F,2025,29.627249357326473
BE,G,2020,30.417180073930645
BE,G,2021,28.042980447419406
BE,G,2022,28.123935989104528
BE,G,2023,28.710801393728225
BE,G,2024,28.03787480273541
BE,G,2025,30.232122800449268
BE,H,2020,22.771888496270122
BE,H,2021,21.455223880597014
BE,H,2022,21.538461538461537
BE,H,2023,22.827303245057813
BE,H,2024,22.80130293159609
BE,H,2025,25.87463556851312
BE,J,2020,87.34835355285962
BE,J,2021,88.98865784499054
BE,J,2022,87.62696214219761
BE,J,2023,85.33201189296332
BE,J,2024,88.44270323212538
BE,J,2025,89.16551406177963
BE,K,2020,66.99346405228758
BE,K,2021,68.28817733990148
BE,K,2022,65.57805355976487
BE,K,2023,66.41991924629879
BE,K,2024,69.42934782608697
BE,K,2025,72.88025889967638
BE,L,2020,70.12658227848101
BE,L,2021,65.20618556701031
BE,L,2022,62.53229974160206
BE,L,2023,67.85714285714286
BE,L,2024,68.20987654320987
BE,L,2025,69.05537459283387
BE,M,2020,85.78811369509044
BE,M,2021,85.85678660491628
BE,M,2022,86.63492063492063
BE,M,2023,86.22809714110052
BE,M,2024,87.65471278959062
BE,M,2025,89.21628189550425
BE,N,2020,27.035950110051353
BE,N,2021,26.55159750275432
BE,N,2022,26.038394415357768
BE,N,2023,25.64450474898236
BE,N,2024,25.0
BE,N,2025,25.647392692444132
BE,O,2020,47.27272727272728
BE,O,2021,47.20271252119158
BE,O,2022,46.200893907315915
BE,O,2023,46.441947565543074
BE,O,2024,52.13675213675214
BE,O,2025,56.38321741081446
BE,P,2020,84.21501706484642
BE,P,2021,85.47579298831386
BE,P,2022,86.01880877742946
BE,P,2023,85.24658101947782
BE,P,2024,85.47255468427568
BE,P,2025,86.15944961554027
BE,Q,2020,58.37059809949692
BE,Q,2021,58.23497117760087
BE,Q,2022,60.49259681093394
BE,Q,2023,60.06595927731574
BE,Q,2024,60.893320584619595
BE,Q,2025,63.51748065118762
BE,R,2020,61.059602649006614
BE,R,2021,60.31073446327684
BE,R,2022,55.98349381017881
BE,R,2023,61.99261992619927
BE,R,2024,66.79738562091502
BE,R,2025,61.49936467598476
BE,S,2020,41.77732379979571
BE,S,2021,38.07390817469205
BE,S,2022,31.6
BE,S,2023,33.640081799591
BE,S,2024,39.555125725338485
BE,S,2025,39.273049645390074
BE,U,2020,83.43815513626834
BE,U,2021,80.88962108731465
BE,U,2022,80.50974512743628
BE,U,2023,80.09404388714734
BE,U,2024,85.55377207062601
BE,U,2025,86.75675675675676
BG,C,2020,16.663521419135687
BG,C,2021,16.220351951032903
BG,C,2022,15.439202148062908
BG,C,2023,17.104506232023013
BG,C,2024,20.6202505647977
BG,C,2025,23.664623467600702
BG,F,2020,12.935982339955851
BG,F,2021,14.779350541215655
BG,F,2022,14.94064674580434
BG,F,2023,15.116279069767444
BG,F,2024,17.38562091503268
BG,F,2025,20.009242144177446
BG,G,2020,20.496632996633
BG,G,2021,21.286701208981004
BG,G,2022,21.834331749638505
BG,G,2023,22.627892167268097
BG,G,2024,25.107077299612477
BG,G,2025,28.493317132442282
BG,H,2020,16.091343600637277
BG,H,2021,17.830687830687832
BG,H,2022,20.061255742725876
BG,H,2023,20.520673813169985
BG,H,2024,21.008840353614147
BG,H,2025,21.602598808879264
BG,J,2020,87.5
BG,J,2021,87.01716738197423
BG,J,2022,87.95289855072463
BG,J,2023,89.13580246913581
BG,J,2024,92.15844785772029
BG,J,2025,92.77297721916732
BG,K,2020,65.7391304347826
BG,K,2021,67.17171717171718
BG,K,2022,66.45367412140575
BG,K,2023,62.27642276422763
BG,K,2024,62.0528771384137
BG,K,2025,68.75
BG,M,2020,90.9502262443439
BG,M,2021,92.1747042766151
BG,M,2022,92.12746016869727
BG,M,2023,91.23616236162361
BG,M,2024,90.3747870528109
BG,M,2025,90.02394253790902
BG,O,2020,50.451735615786966
BG,O,2021,50.86788813886211
BG,O,2022,49.31016862544711
BG,O,2023,48.15384615384616
BG,O,2024,51.973684210526315
BG,O,2025,55.27272727272727
CH,C,2020,43.337045285820345
CH,C,2021,44.23608369522306
CH,C,2022,46.50335835638087
CH,C,2023,47.43909457126415
CH,C,2024,46.07170099160946
CH,C,2025,46.208759405749575
CH,D,2020,51.60256410256411
CH,D,2021,61.111111111111114
CH,D,2022,58.87096774193549
CH,D,2023,55.55555555555556
CH,D,2024,57.84313725490197
CH,D,2025,66.19217081850533
CH,F,2020,24.05933429811867
CH,F,2021,27.389234712559503
CH,F,2022,28.197226502311246
CH,F,2023,28.44729882886287
CH,F,2024,31.25
CH,F,2025,34.491587417703
CH,G,2020,35.99518459069021
CH,G,2021,35.419659347424584
CH,G,2022,37.470924085430326
CH,G,2023,37.160621761658035
CH,G,2024,37.39921438908414
CH,G,2025,38.25446898002103
CH,H,2020,25.534079348931844
CH,H,2021,26.007522837184315
CH,H,2022,25.54783538214858
CH,H,2023,24.79466119096509
CH,H,2024,26.98979591836735
CH,H,2025,29.080863887493724
CH,I,2020,26.73860911270983
CH,I,2021,25.81521739130435
CH,I,2022,24.366471734892787
CH,I,2023,26.27692307692308
CH,I,2024,28.021647624774502
CH,I,2025,26.710684273709482
CH,J,2020,85.052754982415
CH,J,2021,85.83021223470662
CH,J,2022,87.2705018359853
CH,J,2023,87.6580373269115
CH,J,2024,88.26945412311267
CH,J,2025,89.11644236395553
CH,K,2020,60.95238095238095
CH,K,2021,57.34720416124838
CH,K,2022,57.605760576057605
CH,K,2023,56.94618272841051
CH,K,2024,59.70833333333334
CH,K,2025,61.36919315403423
CH,L,2020,52.16535433070867
CH,L,2021,56.640625
CH,L,2022,56.61914460285132
CH,L,2023,59.777777777777786
CH,L,2024,63.31967213114754
CH,L,2025,59.55734406438632
CH,M,2020,78.44736842105263
CH,M,2021,80.44707783463507
CH,M,2022,81.14238863077344
CH,M,2023,80.49479166666667
CH,M,2024,81.35635018495684
CH,M,2025,81.57829225790391
CH,N,2020,31.26463700234192
CH,N,2021,27.70149253731343
CH,N,2022,25.23020257826888
CH,N,2023,27.825552825552823
CH,N,2024,27.66089108910891
CH,N,2025,27.784290738569755
CH,O,2020,57.18363463368221
CH,O,2021,56.28688152519291
CH,O,2022,55.45045045045045
CH,O,2023,56.425789701427945
CH,O,2024,57.89923142613153
CH,O,2025,58.031529612270994
CH,P,2020,85.99581964765602
CH,P,2021,84.65891229173216
CH,P,2022,82.13070115724983
CH,P,2023,81.69200264375412
CH,P,2024,82.12218649517685
CH,P,2025,82.75752773375595
CH,Q,2020,68.35282959215934
CH,Q,2021,66.91570570082833
CH,Q,2022,66.53140723908457
CH,Q,2023,66.89338816830116
CH,Q,2024,68.10063674483615
CH,Q,2025,67.495451788963
CH,R,2020,63.67647058823529
CH,R,2021,65.89506172839506
CH,R,2022,67.58832565284179
CH,R,2023,67.13395638629282
CH,R,2024,66.76646706586827
CH,R,2025,64.46402349486051
CH,S,2020,49.80544747081712
CH,S,2021,45.88709677419355
CH,S,2022,45.68744662681468
CH,S,2023,48.54045037531276
CH,S,2024,48.240813135261924
CH,S,2025,47.62611275964391
CY,C,2020,20.711974110032365
CY,C,2021,22.75641025641026
CY,C,2022,22.027972027972027
CY,C,2023,26.148409893992934
CY,C,2024,30.633802816901408
CY,C,2025,31.071428571428566
CY,F,2020,17.321016166281755
CY,F,2021,19.338422391857506
CY,F,2022,21.039603960396043
CY,F,2023,22.395833333333336
CY,F,2024,23.239436619718308
CY,F,2025,23.210412147505423
CY,G,2020,21.279761904761905
CY,G,2021,22.47191011235955
CY,G,2022,19.315068493150683
CY,G,2023,21.57676348547718
CY,G,2024,25.482093663911847
CY,G,2025,27.310924369747898
CY,H,2020,32.0
CY,H,2021,32.91139240506329
CY,H,2022,38.125
CY,H,2023,40.625
CY,H,2024,38.425925925925924
CY,H,2025,30.952380952380953
CY,K,2020,71.68141592920355
CY,K,2021,76.73469387755102
CY,K,2022,76.8939393939394
CY,K,2023,79.92957746478874
CY,K,2024,80.76923076923077
CY,K,2025,83.5164835164835
CY,M,2020,78.55072463768117
CY,M,2021,77.84256559766764
CY,M,2022,79.54545454545455
CY,M,2023,81.08108108108108
CY,M,2024,84.1688654353562
CY,M,2025,83.16831683168317
CY,O,2020,32.94117647058823
CY,O,2021,32.84313725490196
CY,O,2022,31.21951219512195
CY,O,2023,31.4516129032258
CY,O,2024,30.35230352303523
CY,O,2025,37.88300835654596
CZ,A,2020,17.88181120491174
CZ,A,2021,16.601409553641346
CZ,A,2022,17.30462519936204
CZ,A,2023,18.167938931297712
CZ,A,2024,21.26729788783685
CZ,A,2025,22.592873388931007
CZ,C,2020,25.908925318761383
CZ,C,2021,26.1997600479904
CZ,C,2022,26.577191386108584
CZ,C,2023,26.198261424356005
CZ,C,2024,27.347558539119316
CZ,C,2025,28.418317635595976
CZ,D,2020,55.99284436493739
CZ,D,2021,51.001821493624774
CZ,D,2022,48.46153846153846
CZ,D,2023,48.8235294117647
CZ,D,2024,50.69204152249135
CZ,D,2025,56.2111801242236
CZ,E,2020,25.541795665634677
CZ,E,2021,25.570032573289904
CZ,E,2022,28.330522765598655
CZ,E,2023,30.01745200698081
CZ,E,2024,27.303754266211605
CZ,E,2025,31.470588235294116
CZ,F,2020,22.671854734111545
CZ,F,2021,26.838966202783304
CZ,F,2022,25.145459144953204
CZ,F,2023,25.0392875851231
CZ,F,2024,25.187406296851577
CZ,F,2025,23.570504527813714
CZ,G,2020,25.34635879218472
CZ,G,2021,24.691799178131138
CZ,G,2022,25.044373446929363
CZ,G,2023,25.725668753557194
CZ,G,2024,27.952249770431585
CZ,G,2025,28.99981715121595
CZ,H,2020,11.803381340012525
CZ,H,2021,14.234175139389968
CZ,H,2022,14.39078989446754
CZ,H,2023,14.833005893909625
CZ,H,2024,14.995001666111296
CZ,H,2025,17.528542646071188
CZ,I,2020,12.841854934601665
CZ,I,2021,17.647058823529413
CZ,I,2022,15.629053177691313
CZ,I,2023,14.285714285714285
CZ,I,2024,13.759689922480616
CZ,I,2025,12.523961661341854
CZ,J,2020,91.18644067796609
CZ,J,2021,90.68083051665863
CZ,J,2022,91.49269311064717
CZ,J,2023,90.97784981091303
CZ,J,2024,91.95461578133059
CZ,J,2025,89.83050847457628
CZ,K,2020,84.93392070484582
CZ,K,2021,88.07413376309428
CZ,K,2022,86.5721434528774
CZ,K,2023,87.60064412238326
CZ,K,2024,89.13886733902248
CZ,K,2025,90.59117402164863
CZ,M,2020,81.27076411960132
CZ,M,2021,81.73311635475994
CZ,M,2022,81.47998382531338
CZ,M,2023,85.26515151515153
CZ,M,2024,89.01850362027353
CZ,M,2025,88.78428162095784
CZ,N,2020,23.221266614542614
CZ,N,2021,23.29594477998274
CZ,N,2022,21.369102682701204
CZ,N,2023,26.76950998185118
CZ,N,2024,25.935828877005346
CZ,N,2025,24.326599326599325
