geo,nace_r2,training_ict,year
AT,C,20.37,2020
AT,C,22.985,2021
AT,C,25.6,2022
AT,C,25.83,2023
AT,C,26.06,2024
AT,F,9.65,2020
AT,F,8.280000000000001,2021
AT,F,6.91,2022
AT,F,8.01,2023
AT,F,9.11,2024
AT,G,17.43,2020
AT,G,19.72,2021
AT,G,22.01,2022
AT,G,20.76,2023
AT,G,19.51,2024
AT,H,10.97,2020
AT,H,12.865,2021
AT,H,14.76,2022
AT,H,13.655000000000001,2023
AT,H,12.55,2024
AT,I,5.46,2020
AT,I,5.285,2021
AT,I,5.11,2022
AT,I,5.54,2023
AT,I,5.97,2024
AT,N,17.82,2020
AT,N,15.67,2021
AT,N,13.52,2022
AT,N,15.1,2023
AT,N,16.68,2024
BE,F,18.21,2020
BE,F,18.64,2021
BE,F,19.07,2022
BE,F,21.595,2023
BE,F,24.12,2024
BE,G,32.64,2020
BE,G,33.095,2021
BE,G,33.55,2022
BE,G,35.26,2023
BE,G,36.97,2024
BE,I,9.87,2020
BE,I,8.954999999999998,2021
BE,I,8.04,2022
BE,I,11.355,2023
BE,I,14.67,2024
BE,N,28.57,2020
BE,N,28.225,2021
BE,N,27.88,2022
BE,N,31.665,2023
BE,N,35.45,2024
BG,C,5.38,2020
BG,C,5.925,2021
BG,C,6.47,2022
BG,C,6.145,2023
BG,C,5.82,2024
BG,F,1.96,2020
BG,F,2.005,2021
BG,F,2.05,2022
BG,F,2.07,2023
BG,F,2.09,2024
BG,G,4.43,2020
BG,G,6.21,2021
BG,G,7.99,2022
BG,G,8.555,2023
BG,G,9.12,2024
BG,H,5.5,2020
BG,H,5.555,2021
BG,H,5.61,2022
BG,H,5.125,2023
BG,H,4.64,2024
BG,I,3.07,2020
BG,I,3.0300000000000002,2021
BG,I,2.99,2022
BG,I,3.265,2023
BG,I,3.54,2024
BG,J,48.45,2020
BG,J,49.505,2021
BG,J,50.56,2022
BG,J,51.885000000000005,2023
BG,J,53.21,2024
BG,N,4.66,2020
BG,N,7.175,2021
BG,N,9.69,2022
BG,N,7.66,2023
BG,N,5.63,2024
CY,C,19.69,2020
CY,C,20.1,2021
CY,C,20.51,2022
CY,C,18.96,2023
CY,C,17.41,2024
CY,F,13.51,2020
CY,F,14.355,2021
CY,F,15.2,2022
CY,F,16.509999999999998,2023
CY,F,17.82,2024
CY,G,23.87,2020
CY,G,24.565,2021
CY,G,25.26,2022
CY,G,25.78,2023
CY,G,26.3,2024
CY,H,32.41,2020
CY,H,32.64,2021
CY,H,32.87,2022
CY,H,34.59,2023
CY,H,36.31,2024
CY,I,17.77,2020
CY,I,19.369999999999997,2021
CY,I,20.97,2022
CY,I,21.66,2023
CY,I,22.35,2024
CY,J,73.62,2020
CY,J,70.9,2021
CY,J,68.18,2022
CY,J,71.715,2023
CY,J,75.25,2024
CY,N,21.8,2020
CY,N,29.78,2021
CY,N,37.76,2022
CY,N,36.04,2023
CY,N,34.32,2024
CZ,C,27.6,2020
CZ,C,25.68,2021
CZ,C,23.76,2022
CZ,C,26.055,2023
CZ,C,28.35,2024
CZ,F,17.42,2020
CZ,F,17.32,2021
CZ,F,17.22,2022
CZ,F,15.815,2023
CZ,F,14.41,2024
CZ,G,24.31,2020
CZ,G,22.225,2021
CZ,G,20.14,2022
CZ,G,24.35,2023
CZ,G,28.56,2024
CZ,H,12.35,2020
CZ,H,13.105,2021
CZ,H,13.86,2022
CZ,H,13.83,2023
CZ,H,13.8,2024
CZ,I,9.24,2020
CZ,I,8.02,2021
CZ,I,6.8,2022
