geo,unempl_r,year
AT,6.0,2020
AT,6.2,2021
AT,4.8,2022
AT,5.1,2023
AT,5.2,2024
BE,5.8,2020
BE,6.3,2021
BE,5.6,2022
BE,5.5,2023
BE,5.7,2024
BG,6.1,2020
BG,5.2,2021
BG,4.2,2022
BG,4.3,2023
BG,4.2,2024
CH,4.8,2020
CH,5.1,2021
CH,4.1,2022
CH,4.1,2023
CH,4.4,2024
CY,7.6,2020
CY,7.2,2021
CY,6.3,2022
CY,5.8,2023
CY,4.9,2024
CZ,2.6,2020
CZ,2.8,2021
CZ,2.2,2022
CZ,2.6,2023
CZ,2.6,2024
DE,3.6,2020
DE,3.6,2021
DE,3.1,2022
DE,3.1,2023
DE,3.4,2024
DK,5.6,2020
DK,5.1,2021
DK,4.5,2022
DK,5.1,2023
DK,6.2,2024
EE,6.9,2020
EE,6.2,2021
EE,5.6,2022
EE,6.4,2023
EE,7.6,2024
EL,17.6,2020
EL,14.7,2021
EL,12.5,2022
EL,11.1,2023
EL,10.1,2024
ES,15.5,2020
ES,14.9,2021
ES,13.0,2022
ES,12.2,2023
ES,11.4,2024
FI,7.7,2020
FI,7.7,2021
FI,6.8,2022
FI,7.2,2023
FI,8.4,2024
FR,8.0,2020
FR,7.9,2021
FR,7.3,2022
FR,7.3,2023
FR,7.4,2024
HR,7.4,2020
HR,7.5,2021
HR,6.8,2022
HR,6.1,2023
HR,5.0,2024
HU,4.1,2020
HU,4.0,2021
HU,3.6,2022
HU,4.1,2023
HU,4.5,2024
IE,5.9,2020
IE,6.2,2021
IE,4.5,2022
IE,4.3,2023
IE,4.3,2024
IS,5.5,2020
IS,6.1,2021
IS,3.8,2022
IS,3.5,2023
IS,3.6,2024
IT,9.3,2020
IT,9.5,2021
IT,8.1,2022
IT,7.7,2023
IT,6.5,2024
LT,8.5,2020
LT,7.1,2021
LT,6.0,2022
LT,6.9,2023
LT,7.1,2024
LU,6.8,2020
LU,5.3,2021
LU,4.6,2022
LU,5.2,2023
LU,6.4,2024
LV,8.1,2020
LV,7.6,2021
LV,6.9,2022
LV,6.5,2023
LV,6.9,2024
MT,4.9,2020
MT,3.8,2021
MT,3.5,2022
MT,3.5,2023
MT,3.2,2024
NL,4.9,2020
NL,4.2,2021
NL,3.5,2022
NL,3.6,2023
NL,3.7,2024
NO,4.7,2020
NO,4.4,2021
NO,3.2,2022
NO,3.6,2023
NO,4.0,2024
PL,3.2,2020
PL,3.4,2021
PL,2.9,2022
PL,2.8,2023
PL,2.9,2024
PT,7.1,2020
PT,6.7,2021
PT,6.2,2022
PT,6.5,2023
PT,6.5,2024
RO,6.1,2020
RO,5.6,2021
RO,5.6,2022
RO,5.6,2023
RO,5.4,2024
SE,8.5,2020
SE,8.9,2021
SE,7.5,2022
SE,7.7,2023
SE,8.4,2024
SI,5.0,2020
SI,4.8,2021
SI,4.0,2022
SI,3.7,2023
SI,3.7,2024
SK,6.7,2020
SK,6.8,2021
SK,6.1,2022
SK,5.8,2023
SK,5.3,2024
