freq,size_emp,nace_r2,indic_is,unit,geo,2021,2023,2024,2025
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,AT,,8.24,,4.98
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,BA,,17.89,,13.24
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,BE,,21.08,,9.21
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,BG,,13.97,,13.53
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,CY,,9.89,,18.58
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,CZ,,7.91,,19.37
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,DE,,19.09,,13.8
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,DK,,10.71,,7.87
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,EA,,15.99,,13.48
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,EE,,5.51,,15.64
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,EL,,17.21,,19.81
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,ES,,21.76,19.58,19.1
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,EU27_2020,,14.7,,13.15
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,FI,,3.22,,
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,FR,,22.06,,17.09
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,HR,,22.27,,13.11
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,HU,,31.06,,18.36
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,IE,,8.2,,7.56
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,IT,,8.93,,9.05
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,LT,,18.65,,11.77
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,LU,,12.22,,9.96
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,LV,,19.98,,13.87
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,ME,,,,
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,MT,,5.66,,8.62
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,NL,,13.81,,9.81
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,NO,,2.41,,4.44
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,PL,,4.21,,5.13
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,PT,,21.06,,23.93
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,RO,,14.42,,21.99
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,RS,,7.59,,14.98
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,SE,,8.27,,3.43
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,SI,,4.08,,8.16
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,SK,,13.46,,15.3
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT,TR,,8.11,,8.37
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT_IUSE,AT,,8.25,,4.99
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT_IUSE,BA,,17.89,,13.24
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT_IUSE,BE,,21.08,,9.21
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT_IUSE,BG,,14.28,,13.99
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT_IUSE,CY,,9.93,,18.58
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT_IUSE,CZ,,8.06,,19.7
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT_IUSE,DE,,19.11,,13.81
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT_IUSE,DK,,10.71,,7.87
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT_IUSE,EA,,16.14,,13.55
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT_IUSE,EE,,5.56,,15.75
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT_IUSE,EL,,17.39,,20.25
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT_IUSE,ES,,21.97,19.71,19.21
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT_IUSE,EU27_2020,,14.85,,13.26
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT_IUSE,FI,,3.22,,
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT_IUSE,FR,,22.6,,17.19
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT_IUSE,HR,,23.28,,13.21
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT_IUSE,HU,,31.93,,19.25
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT_IUSE,IE,,8.24,,7.65
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT_IUSE,IT,,8.99,,9.12
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT_IUSE,LT,,18.65,,11.77
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT_IUSE,LU,,12.22,,9.96
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT_IUSE,LV,,19.98,,13.87
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT_IUSE,ME,,,,
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT_IUSE,MT,,5.77,,8.78
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT_IUSE,NL,,13.81,,9.81
A,GE10,C,E_AIX_CC1SIX_DA,PC_ENT_IUSE,NO,,2.42,,4.48
