freq,size_emp,nace_r2,indic_is,unit,geo\TIME_PERIOD,num_2016,flag_2016,num_2020,flag_2020
A,GE10,C,P_CUSE,PC_EMP,AT,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,BA,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,BE,57.93,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,BG,19.17,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,CY,32.96,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,CZ,46.41,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,DE,59.39,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,DK,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,EA,54.1,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,EE,35.98,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,EL,40.33,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,ES,52.99,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,EU15,55.47,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,EU25,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,EU27_2007,48.95,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,EU27_2020,47.86,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,EU28,48.84,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,FI,74.75,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,FR,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,HR,37.9,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,HU,39.67,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,IE,57.45,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,IS,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,IT,47.04,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,LT,31.71,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,LU,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,LV,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,ME,38.49,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,MK,17.32,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,MT,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,NL,58.83,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,NO,67.2,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,PL,33.49,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,PT,33.74,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,RO,22.33,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,RS,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,SE,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,SI,48.88,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,SK,39.06,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,TR,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP,UK,57.95,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,AT,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,BE,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,BG,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,CY,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,CZ,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,DE,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,DK,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,EA,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,EE,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,EL,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,ES,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,EU15,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,EU27_2007,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,EU27_2020,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,EU28,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,FI,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,FR,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,HR,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,HU,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,IE,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,IT,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,LT,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,MK,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,MT,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,NL,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,NO,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,PL,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,PT,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,RO,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,RS,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,SI,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,SK,,NaN,,NaN
A,GE10,C,P_CUSE,PC_EMP_CUSE2,UK,,NaN,,NaN
A,GE10,C,P_IUSE,PC_EMP,AL,,NaN,,NaN
A,GE10,C,P_IUSE,PC_EMP,AT,51.02,NaN,59.57,NaN
A,GE10,C,P_IUSE,PC_EMP,BA,,NaN,21.81,NaN
A,GE10,C,P_IUSE,PC_EMP,BE,47.42,NaN,,u
A,GE10,C,P_IUSE,PC_EMP,BG,16.27,NaN,21.06,NaN
A,GE10,C,P_IUSE,PC_EMP,CY,27.51,NaN,31.83,NaN
A,GE10,C,P_IUSE,PC_EMP,CZ,29.13,NaN,43.05,NaN
A,GE10,C,P_IUSE,PC_EMP,DE,50.73,NaN,55.06,NaN
A,GE10,C,P_IUSE,PC_EMP,DK,64.82,NaN,69.4,NaN
A,GE10,C,P_IUSE,PC_EMP,EA,46.89,NaN,53.02,NaN
A,GE10,C,P_IUSE,PC_EMP,EE,32.01,NaN,37.62,NaN
A,GE10,C,P_IUSE,PC_EMP,EL,33.82,NaN,38.81,NaN
A,GE10,C,P_IUSE,PC_EMP,ES,43.59,NaN,50.48,NaN
A,GE10,C,P_IUSE,PC_EMP,EU15,48.88,NaN,,NaN
A,GE10,C,P_IUSE,PC_EMP,EU25,,NaN,,NaN
A,GE10,C,P_IUSE,PC_EMP,EU27_2007,42.98,NaN,,NaN
A,GE10,C,P_IUSE,PC_EMP,EU27_2020,42.14,NaN,49.08,NaN
A,GE10,C,P_IUSE,PC_EMP,EU28,42.9,NaN,,NaN
A,GE10,C,P_IUSE,PC_EMP,FI,65.02,NaN,75.6,NaN
A,GE10,C,P_IUSE,PC_EMP,FR,53.91,NaN,58.63,NaN
A,GE10,C,P_IUSE,PC_EMP,HR,32.92,NaN,35.4,NaN
A,GE10,C,P_IUSE,PC_EMP,HU,30.46,NaN,36.2,NaN
A,GE10,C,P_IUSE,PC_EMP,IE,55.61,NaN,56.46,NaN
A,GE10,C,P_IUSE,PC_EMP,IS,,NaN,100.0,NaN
A,GE10,C,P_IUSE,PC_EMP,IT,38.17,NaN,48.98,NaN
A,GE10,C,P_IUSE,PC_EMP,LT,28.0,NaN,38.79,NaN
A,GE10,C,P_IUSE,PC_EMP,LU,,NaN,,NaN
