freq,nace_r2,indic_sb,size_emp,geo,num_2016,flag_2016,num_2020,flag_2020
A,B,V11110,0-9,AL,,NaN,510.0,NaN
A,B,V11110,0-9,AT,226.0,NaN,197.0,NaN
A,B,V11110,0-9,BA,129.0,e,98.0,NaN
A,B,V11110,0-9,BE,144.0,NaN,141.0,NaN
A,B,V11110,0-9,BG,224.0,NaN,199.0,NaN
A,B,V11110,0-9,CH,85.0,NaN,85.0,d
A,B,V11110,0-9,CY,,NaN,,NaN
A,B,V11110,0-9,CZ,281.0,NaN,331.0,NaN
A,B,V11110,0-9,DE,966.0,NaN,1142.0,NaN
A,B,V11110,0-9,DK,176.0,NaN,188.0,NaN
A,B,V11110,0-9,EE,102.0,NaN,109.0,NaN
A,B,V11110,0-9,EL,626.0,NaN,483.0,NaN
A,B,V11110,0-9,ES,1614.0,NaN,1489.0,NaN
A,B,V11110,0-9,EU27_2007,,NaN,,NaN
A,B,V11110,0-9,EU27_2020,13883.0,NaN,13400.0,e
A,B,V11110,0-9,EU28,14752.0,NaN,,NaN
A,B,V11110,0-9,FI,734.0,NaN,792.0,NaN
A,B,V11110,0-9,FR,1335.0,NaN,786.0,NaN
A,B,V11110,0-9,HR,170.0,NaN,147.0,NaN
A,B,V11110,0-9,HU,328.0,NaN,277.0,NaN
A,B,V11110,0-9,IE,351.0,NaN,393.0,NaN
A,B,V11110,0-9,IS,28.0,p,31.0,p
A,B,V11110,0-9,IT,1686.0,NaN,1335.0,NaN
A,B,V11110,0-9,LT,75.0,NaN,87.0,NaN
A,B,V11110,0-9,LU,3.0,NaN,3.0,NaN
A,B,V11110,0-9,LV,211.0,NaN,276.0,NaN
A,B,V11110,0-9,MK,127.0,NaN,,NaN
A,B,V11110,0-9,MT,,NaN,59.0,NaN
A,B,V11110,0-9,NL,391.0,NaN,512.0,NaN
A,B,V11110,0-9,NO,859.0,NaN,918.0,NaN
A,B,V11110,0-9,PL,1673.0,NaN,2050.0,NaN
A,B,V11110,0-9,PT,830.0,NaN,817.0,NaN
A,B,V11110,0-9,RO,745.0,NaN,699.0,NaN
A,B,V11110,0-9,RS,284.0,p,258.0,NaN
A,B,V11110,0-9,SE,667.0,NaN,535.0,NaN
A,B,V11110,0-9,SI,69.0,NaN,62.0,NaN
A,B,V11110,0-9,SK,166.0,NaN,271.0,NaN
A,B,V11110,0-9,UK,869.0,b,,NaN
A,B,V11110,10-19,AL,,NaN,87.0,NaN
A,B,V11110,10-19,AT,49.0,NaN,38.0,NaN
A,B,V11110,10-19,BA,23.0,e,26.0,NaN
A,B,V11110,10-19,BE,,NaN,,NaN
A,B,V11110,10-19,BG,47.0,NaN,38.0,NaN
A,B,V11110,10-19,CH,47.0,NaN,45.0,NaN
A,B,V11110,10-19,CY,,NaN,,NaN
A,B,V11110,10-19,CZ,43.0,NaN,41.0,NaN
A,B,V11110,10-19,DE,361.0,NaN,194.0,NaN
A,B,V11110,10-19,DK,14.0,NaN,16.0,NaN
A,B,V11110,10-19,EE,16.0,NaN,16.0,NaN
A,B,V11110,10-19,EL,25.0,NaN,44.0,NaN
A,B,V11110,10-19,ES,239.0,NaN,221.0,NaN
A,B,V11110,10-19,EU27_2007,,NaN,,NaN
A,B,V11110,10-19,EU27_2020,2000.0,de,1634.0,NaN
A,B,V11110,10-19,EU28,2100.0,de,,NaN
A,B,V11110,10-19,FI,61.0,NaN,53.0,NaN
A,B,V11110,10-19,FR,168.0,NaN,98.0,NaN
A,B,V11110,10-19,HR,26.0,NaN,19.0,NaN
A,B,V11110,10-19,HU,39.0,NaN,32.0,NaN
A,B,V11110,10-19,IE,34.0,NaN,,NaN
A,B,V11110,10-19,IS,5.0,p,2.0,p
A,B,V11110,10-19,IT,288.0,NaN,254.0,NaN
A,B,V11110,10-19,LT,15.0,NaN,13.0,NaN
A,B,V11110,10-19,LU,3.0,NaN,1.0,NaN
A,B,V11110,10-19,LV,21.0,NaN,26.0,NaN
A,B,V11110,10-19,MK,26.0,NaN,,NaN
A,B,V11110,10-19,MT,,NaN,4.0,NaN
A,B,V11110,10-19,NL,18.0,NaN,17.0,NaN
A,B,V11110,10-19,NO,86.0,NaN,66.0,NaN
A,B,V11110,10-19,PL,137.0,NaN,197.0,NaN
A,B,V11110,10-19,PT,123.0,NaN,108.0,NaN
A,B,V11110,10-19,RO,173.0,NaN,119.0,NaN
A,B,V11110,10-19,RS,15.0,p,23.0,NaN
A,B,V11110,10-19,SE,24.0,NaN,20.0,NaN
A,B,V11110,10-19,SI,19.0,NaN,15.0,NaN
A,B,V11110,10-19,SK,25.0,NaN,4.0,NaN
A,B,V11110,10-19,UK,107.0,b,,NaN
A,B,V11110,20-49,AL,,NaN,60.0,NaN
A,B,V11110,20-49,AT,51.0,NaN,45.0,NaN
A,B,V11110,20-49,BA,22.0,e,28.0,NaN
A,B,V11110,20-49,BE,16.0,NaN,20.0,NaN
A,B,V11110,20-49,BG,38.0,NaN,32.0,NaN
A,B,V11110,20-49,CH,64.0,NaN,63.0,NaN
A,B,V11110,20-49,CY,,NaN,,NaN
A,B,V11110,20-49,CZ,33.0,NaN,32.0,NaN
A,B,V11110,20-49,DE,288.0,NaN,189.0,NaN
A,B,V11110,20-49,DK,14.0,NaN,10.0,NaN
A,B,V11110,20-49,EE,16.0,NaN,20.0,NaN
A,B,V11110,20-49,EL,15.0,NaN,,NaN
A,B,V11110,20-49,ES,139.0,NaN,112.0,NaN
A,B,V11110,20-49,EU27_2007,,NaN,,NaN
A,B,V11110,20-49,EU27_2020,1300.0,du,1220.0,NaN
A,B,V11110,20-49,EU28,1400.0,du,,NaN
