freq,unit,nace_r2,isced11,age,sex,geo,num_2020,flag_2020,num_2021,flag_2021,num_2022,flag_2022,num_2023,flag_2023,num_2024,flag_2024
A,PC,A,ED0-2,Y15-24,F,AT,,u,,bu,,u,,u,,u
A,PC,A,ED0-2,Y15-24,F,BA,,NaN,,u,,u,,NaN,,u
A,PC,A,ED0-2,Y15-24,F,BE,,u,,bu,,u,,u,,u
A,PC,A,ED0-2,Y15-24,F,BG,,u,,bu,,u,,u,,bu
A,PC,A,ED0-2,Y15-24,F,CH,,u,,bu,,u,,u,,u
A,PC,A,ED0-2,Y15-24,F,CY,,u,,NaN,,NaN,,NaN,,u
A,PC,A,ED0-2,Y15-24,F,CZ,,u,,bu,,u,,u,,u
A,PC,A,ED0-2,Y15-24,F,DE,,bu,,bu,,u,,u,,u
A,PC,A,ED0-2,Y15-24,F,DK,,u,,bu,,u,,u,,u
A,PC,A,ED0-2,Y15-24,F,EA20,,u,41.5,bu,37.7,u,36.6,u,37.8,u
A,PC,A,ED0-2,Y15-24,F,EE,,u,,bu,,u,,u,,u
A,PC,A,ED0-2,Y15-24,F,EL,,NaN,,NaN,,u,,u,,NaN
A,PC,A,ED0-2,Y15-24,F,ES,39.8,u,66.1,b,80.2,NaN,75.4,u,49.7,u
A,PC,A,ED0-2,Y15-24,F,EU27_2020,,u,40.5,b,37.9,NaN,35.5,NaN,35.9,NaN
A,PC,A,ED0-2,Y15-24,F,FI,,u,,bu,,u,,u,,u
A,PC,A,ED0-2,Y15-24,F,FR,,u,,bu,,u,,u,,u
A,PC,A,ED0-2,Y15-24,F,HR,,u,,bu,,u,,NaN,,NaN
A,PC,A,ED0-2,Y15-24,F,HU,,u,,bu,,u,,u,,u
A,PC,A,ED0-2,Y15-24,F,IE,,u,,bu,,u,,u,,u
A,PC,A,ED0-2,Y15-24,F,IS,,bu,,bu,,u,,u,,u
A,PC,A,ED0-2,Y15-24,F,IT,,u,,bu,,u,,u,,u
A,PC,A,ED0-2,Y15-24,F,LT,,u,,bu,,u,,u,,u
A,PC,A,ED0-2,Y15-24,F,LU,,u,,NaN,,NaN,,NaN,,NaN
A,PC,A,ED0-2,Y15-24,F,LV,,u,,bu,,u,,u,,u
A,PC,A,ED0-2,Y15-24,F,ME,,u,,NaN,,NaN,,NaN,,NaN
A,PC,A,ED0-2,Y15-24,F,MK,,u,,NaN,,NaN,,NaN,,NaN
A,PC,A,ED0-2,Y15-24,F,MT,,u,,NaN,,NaN,,u,,NaN
A,PC,A,ED0-2,Y15-24,F,NL,42.9,NaN,55.4,b,45.4,NaN,52.2,NaN,46.3,NaN
A,PC,A,ED0-2,Y15-24,F,NO,,u,,bu,,u,,u,,u
A,PC,A,ED0-2,Y15-24,F,PL,,u,,bu,,u,,u,,u
A,PC,A,ED0-2,Y15-24,F,PT,,u,,bu,,u,,u,,u
A,PC,A,ED0-2,Y15-24,F,RO,,u,,bu,,u,,u,,u
A,PC,A,ED0-2,Y15-24,F,RS,,u,,bu,,u,,u,,u
