freq,product,nrg_cons,unit,tax,currency,geo,2016,2020,flag_2016,flag_2020
S,6000,MWH20-499,KWH,I_TAX,EUR,AL,,0.1244,NaN,e
S,6000,MWH20-499,KWH,I_TAX,EUR,AT,0.15045,0.1619,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,BA,0.1004,0.1061,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,BE,0.1849,0.18465,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,BG,0.12105,0.11335,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,CY,0.16449999999999998,0.17945,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,CZ,0.14105,0.17075,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,DE,0.2246,0.2391,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,DK,0.2731,0.2573,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,EA,0.1805,0.19225,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,EE,0.11355,0.1099,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,EL,0.1553,0.15139999999999998,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,ES,0.17404999999999998,0.17785,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,EU27_2020,0.17035,0.183,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,FI,0.1037,0.1099,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,FR,0.1357,0.16085,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,GE,,0.061950000000000005,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,HR,0.13165,0.13685,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,HU,0.11624999999999999,0.14195000000000002,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,IE,0.17795,0.1873,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,IS,0.0928,0.0815,NaN,e
S,6000,MWH20-499,KWH,I_TAX,EUR,IT,0.2154,0.20245,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,LI,,,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,LT,0.1241,0.13419999999999999,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,LU,0.10955,0.12680000000000002,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,LV,0.16,0.15510000000000002,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,MD,0.09459999999999999,0.09784999999999999,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,ME,0.10819999999999999,0.11185,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,MK,0.12125,0.1079,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,MT,0.16454999999999997,0.15944999999999998,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,NL,0.14525,0.15975,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,NO,0.09809999999999999,0.0625,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,PL,0.13119999999999998,0.16075,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,PT,0.18435,0.17304999999999998,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,RO,0.11030000000000001,0.14055,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,RS,0.08495,0.1122,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,SE,0.09245,0.09715,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,SI,0.1264,0.14105,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,SK,0.1617,0.18525,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,TR,0.0905,0.09129999999999999,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,UA,,0.07225,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,UK,0.17765,,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,EUR,XK,0.09945000000000001,0.08875,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,AL,,15.396,NaN,e
S,6000,MWH20-499,KWH,I_TAX,NAC,AT,0.15045,0.1619,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,BA,0.19635000000000002,0.2076,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,BE,0.1849,0.18465,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,BG,0.23670000000000002,0.22165,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,CY,0.16449999999999998,0.17945,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,CZ,3.8139000000000003,4.5177,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,DE,0.2246,0.2391,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,DK,2.03335,1.91785,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,EA,0.18075,,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,EE,0.11355,0.1099,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,EL,0.1553,0.15139999999999998,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,ES,0.17404999999999998,0.17785,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,FI,0.1037,0.1099,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,FR,0.1357,0.16085,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,GE,,0.2192,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,HR,0.99195,1.0317500000000002,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,HU,36.2038,49.8508,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,IE,0.17795,0.1873,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,IS,12.4057,12.6,NaN,e
S,6000,MWH20-499,KWH,I_TAX,NAC,IT,0.2154,0.20245,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,LI,,,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,LT,0.1241,0.13419999999999999,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,LU,0.10955,0.12680000000000002,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,LV,0.16,0.15510000000000002,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,MD,2.0857,1.93035,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,ME,0.10819999999999999,0.11185,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,MK,7.469900000000001,6.653700000000001,NaN,NaN
S,6000,MWH20-499,KWH,I_TAX,NAC,MT,0.16454999999999997,0.15944999999999998,NaN,NaN
