freq,unit,na_item,geo,num_2020,flag_2020,num_2021,flag_2021,num_2022,flag_2022,num_2023,flag_2023,num_2024,flag_2024
A,CLV10_EUR_HAB,B1GQ,AL,3880.0,NaN,4270.0,NaN,4530.0,NaN,,NaN,,NaN
A,CLV10_EUR_HAB,B1GQ,AT,35480.0,NaN,37080.0,NaN,38620.0,NaN,37990.0,NaN,37550.0,NaN
A,CLV10_EUR_HAB,B1GQ,BE,33990.0,NaN,35960.0,NaN,37090.0,NaN,37400.0,NaN,37600.0,p
A,CLV10_EUR_HAB,B1GQ,BG,6800.0,NaN,7380.0,NaN,7730.0,NaN,7880.0,NaN,8160.0,NaN
A,CLV10_EUR_HAB,B1GQ,CH,60140.0,NaN,63020.0,NaN,64390.0,NaN,63870.0,NaN,63980.0,NaN
A,CLV10_EUR_HAB,B1GQ,CY,24190.0,NaN,26540.0,NaN,28210.0,NaN,28670.0,NaN,29330.0,p
A,CLV10_EUR_HAB,B1GQ,CZ,17900.0,NaN,18620.0,NaN,18690.0,NaN,18500.0,NaN,18700.0,NaN
A,CLV10_EUR_HAB,B1GQ,DE,35620.0,NaN,37070.0,NaN,37490.0,p,36830.0,p,36550.0,p
A,CLV10_EUR_HAB,B1GQ,DK,47940.0,NaN,50840.0,NaN,50620.0,NaN,50570.0,NaN,52080.0,NaN
A,CLV10_EUR_HAB,B1GQ,EA,29720.0,NaN,31610.0,NaN,32590.0,NaN,32340.0,NaN,32490.0,NaN
A,CLV10_EUR_HAB,B1GQ,EA12,30340.0,NaN,32260.0,NaN,33280.0,NaN,33200.0,NaN,33350.0,NaN
A,CLV10_EUR_HAB,B1GQ,EA19,29720.0,NaN,31610.0,NaN,32590.0,NaN,32530.0,NaN,32680.0,NaN
A,CLV10_EUR_HAB,B1GQ,EA20,29520.0,NaN,31410.0,NaN,32390.0,NaN,32340.0,NaN,32490.0,NaN
A,CLV10_EUR_HAB,B1GQ,EE,15070.0,NaN,16300.0,NaN,16080.0,NaN,15250.0,NaN,15140.0,NaN
A,CLV10_EUR_HAB,B1GQ,EL,16320.0,p,17820.0,p,18920.0,p,19380.0,p,19810.0,p
