freq,unit,na_item,geo,2020,2021,2022,2023,2024,2025
A,CLV10_EUR_HAB,B1GQ,AL,3880.0,4270.0,4530.0,,,
A,CLV10_EUR_HAB,B1GQ,AT,35480.0,37080.0,38620.0,37990.0,37550.0,
A,CLV10_EUR_HAB,B1GQ,BE,33990.0,35960.0,37090.0,37400.0,37580.0,
A,CLV10_EUR_HAB,B1GQ,BG,6800.0,7380.0,7730.0,7880.0,8160.0,
A,CLV10_EUR_HAB,B1GQ,CH,61140.0,64440.0,66160.0,65710.0,65880.0,
A,CLV10_EUR_HAB,B1GQ,CY,24190.0,26540.0,28210.0,28670.0,29330.0,
A,CLV10_EUR_HAB,B1GQ,CZ,17900.0,18620.0,18690.0,18500.0,18700.0,
A,CLV10_EUR_HAB,B1GQ,DE,35620.0,37070.0,37490.0,36830.0,36550.0,36620.0
A,CLV10_EUR_HAB,B1GQ,DK,47940.0,50840.0,50620.0,50570.0,52080.0,
A,CLV10_EUR_HAB,B1GQ,EA,29720.0,31610.0,32590.0,32330.0,32490.0,
A,CLV10_EUR_HAB,B1GQ,EA12,30340.0,32260.0,33280.0,33200.0,33340.0,
A,CLV10_EUR_HAB,B1GQ,EA19,29720.0,31610.0,32590.0,32520.0,32680.0,
A,CLV10_EUR_HAB,B1GQ,EA20,29520.0,31410.0,32390.0,32330.0,32490.0,
A,CLV10_EUR_HAB,B1GQ,EA21,29100.0,30960.0,31940.0,31890.0,32060.0,
A,CLV10_EUR_HAB,B1GQ,EE,15070.0,16300.0,16080.0,15250.0,15140.0,
A,CLV10_EUR_HAB,B1GQ,EL,16320.0,17820.0,18920.0,19380.0,19810.0,
A,CLV10_EUR_HAB,B1GQ,ES,22510.0,24020.0,25310.0,25630.0,26240.0,
A,CLV10_EUR_HAB,B1GQ,EU27_2020,26850.0,28570.0,29400.0,29380.0,29610.0,
A,CLV10_EUR_HAB,B1GQ,FI,35990.0,36880.0,37060.0,36440.0,36300.0,
A,CLV10_EUR_HAB,B1GQ,FR,30800.0,32770.0,33530.0,33920.0,34240.0,
A,CLV10_EUR_HAB,B1GQ,HR,12140.0,13790.0,14870.0,15420.0,15960.0,
A,CLV10_EUR_HAB,B1GQ,HU,12930.0,13930.0,14540.0,14440.0,14570.0,
A,CLV10_EUR_HAB,B1GQ,IE,63230.0,72680.0,76520.0,73230.0,73890.0,
A,CLV10_EUR_HAB,B1GQ,IS,36020.0,37320.0,39680.0,40670.0,39440.0,
A,CLV10_EUR_HAB,B1GQ,IT,24960.0,27330.0,28710.0,29000.0,29220.0,
A,CLV10_EUR_HAB,B1GQ,LT,14310.0,15240.0,15490.0,15390.0,15760.0,
A,CLV10_EUR_HAB,B1GQ,LU,82550.0,86900.0,84090.0,82600.0,81590.0,
A,CLV10_EUR_HAB,B1GQ,LV,11890.0,12820.0,13050.0,12960.0,13070.0,
A,CLV10_EUR_HAB,B1GQ,ME,5410.0,6130.0,6620.0,7050.0,7270.0,
A,CLV10_EUR_HAB,B1GQ,MK,4570.0,4830.0,4980.0,5120.0,5280.0,
A,CLV10_EUR_HAB,B1GQ,MT,22230.0,25060.0,25050.0,26630.0,27710.0,
A,CLV10_EUR_HAB,B1GQ,NL,40800.0,43140.0,44870.0,44160.0,44350.0,44930.0
A,CLV10_EUR_HAB,B1GQ,NO,68850.0,71160.0,72810.0,72030.0,72850.0,
A,CLV10_EUR_HAB,B1GQ,PL,13370.0,14370.0,14800.0,14900.0,15390.0,
A,CLV10_EUR_HAB,B1GQ,PT,16940.0,17840.0,18970.0,19360.0,19560.0,
A,CLV10_EUR_HAB,B1GQ,RO,8960.0,9540.0,9990.0,10210.0,10300.0,
A,CLV10_EUR_HAB,B1GQ,RS,5420.0,5910.0,6220.0,6500.0,6790.0,
A,CLV10_EUR_HAB,B1GQ,SE,42520.0,44480.0,44560.0,44170.0,44450.0,
A,CLV10_EUR_HAB,B1GQ,SI,19630.0,21240.0,21780.0,22180.0,22500.0,
A,CLV10_EUR_HAB,B1GQ,SK,15510.0,16450.0,16490.0,16830.0,17150.0,
A,CLV10_EUR_HAB,B1GQ,TR,11240.0,12450.0,13010.0,13660.0,14120.0,
A,CLV10_EUR_HAB,B1GQ,UK,,,,,,
A,CLV10_EUR_HAB,P3,AL,3320.0,3500.0,3730.0,,,
A,CLV10_EUR_HAB,P3,AT,24760.0,26090.0,26760.0,26540.0,26870.0,
A,CLV10_EUR_HAB,P3,BE,25340.0,26530.0,27240.0,27430.0,27800.0,
A,CLV10_EUR_HAB,P3,BG,5780.0,6210.0,6560.0,6650.0,6960.0,
A,CLV10_EUR_HAB,P3,CH,37970.0,38570.0,39690.0,39650.0,40060.0,
A,CLV10_EUR_HAB,P3,CY,19590.0,20400.0,21840.0,22600.0,23000.0,
A,CLV10_EUR_HAB,P3,CZ,12220.0,12630.0,12380.0,12130.0,12440.0,
A,CLV10_EUR_HAB,P3,DE,26600.0,27260.0,28360.0,27960.0,28190.0,28580.0
A,CLV10_EUR_HAB,P3,DK,35060.0,36780.0,35640.0,34820.0,34990.0,
A,CLV10_EUR_HAB,P3,EA,22330.0,23330.0,24160.0,24060.0,24340.0,
A,CLV10_EUR_HAB,P3,EA12,22800.0,23810.0,24670.0,24720.0,24980.0,
A,CLV10_EUR_HAB,P3,EA19,22330.0,23330.0,24160.0,24200.0,24460.0,
A,CLV10_EUR_HAB,P3,EA20,22190.0,23190.0,24020.0,24060.0,24340.0,
A,CLV10_EUR_HAB,P3,EA21,21880.0,22880.0,23710.0,23750.0,24030.0,
A,CLV10_EUR_HAB,P3,EE,11140.0,11820.0,12000.0,11600.0,11600.0,
A,CLV10_EUR_HAB,P3,EL,15460.0,16210.0,17450.0,17920.0,18190.0,
A,CLV10_EUR_HAB,P3,ES,17060.0,18100.0,18610.0,18860.0,19230.0,
