,freq,unit,nace_r2,isced11,age,sex,geo\TIME_PERIOD,num_2016,flag_2016,num_2020,flag_2020
0,A,PC,A,ED0-2,Y15-24,F,AT,,u,,u
1,A,PC,A,ED0-2,Y15-24,F,BA,,NaN,,NaN
2,A,PC,A,ED0-2,Y15-24,F,BE,,u,,u
3,A,PC,A,ED0-2,Y15-24,F,BG,,u,,u
4,A,PC,A,ED0-2,Y15-24,F,CH,33.1,u,,u
5,A,PC,A,ED0-2,Y15-24,F,CY,,u,,u
6,A,PC,A,ED0-2,Y15-24,F,CZ,,u,,u
7,A,PC,A,ED0-2,Y15-24,F,DE,,u,,bu
8,A,PC,A,ED0-2,Y15-24,F,DK,,bu,,u
9,A,PC,A,ED0-2,Y15-24,F,EA20,38.7,NaN,,u
10,A,PC,A,ED0-2,Y15-24,F,EE,,u,,u
11,A,PC,A,ED0-2,Y15-24,F,EL,,u,,NaN
12,A,PC,A,ED0-2,Y15-24,F,ES,65.2,u,39.8,u
13,A,PC,A,ED0-2,Y15-24,F,EU27_2020,38.0,NaN,,u
14,A,PC,A,ED0-2,Y15-24,F,FI,,u,,u
15,A,PC,A,ED0-2,Y15-24,F,FR,25.0,u,,u
16,A,PC,A,ED0-2,Y15-24,F,HR,,u,,u
17,A,PC,A,ED0-2,Y15-24,F,HU,,u,,u
18,A,PC,A,ED0-2,Y15-24,F,IE,,u,,u
19,A,PC,A,ED0-2,Y15-24,F,IS,,u,,bu
20,A,PC,A,ED0-2,Y15-24,F,IT,30.9,u,,u
21,A,PC,A,ED0-2,Y15-24,F,LT,,u,,u
22,A,PC,A,ED0-2,Y15-24,F,LU,,u,,u
23,A,PC,A,ED0-2,Y15-24,F,LV,,u,,u
24,A,PC,A,ED0-2,Y15-24,F,ME,,NaN,,u
25,A,PC,A,ED0-2,Y15-24,F,MK,,u,,u
26,A,PC,A,ED0-2,Y15-24,F,MT,,u,,u
27,A,PC,A,ED0-2,Y15-24,F,NL,52.5,NaN,42.9,NaN
28,A,PC,A,ED0-2,Y15-24,F,NO,52.8,u,,u
29,A,PC,A,ED0-2,Y15-24,F,PL,,u,,u
30,A,PC,A,ED0-2,Y15-24,F,PT,,u,,u
31,A,PC,A,ED0-2,Y15-24,F,RO,,u,,u
32,A,PC,A,ED0-2,Y15-24,F,RS,,u,,u
33,A,PC,A,ED0-2,Y15-24,F,SE,45.2,u,,u
34,A,PC,A,ED0-2,Y15-24,F,SI,,u,,u
35,A,PC,A,ED0-2,Y15-24,F,SK,,u,,u
36,A,PC,A,ED0-2,Y15-24,F,TR,92.1,NaN,83.8,NaN
37,A,PC,A,ED0-2,Y15-24,F,UK,,u,,NaN
38,A,PC,A,ED0-2,Y15-24,M,AT,,u,,u
39,A,PC,A,ED0-2,Y15-24,M,BA,,NaN,,NaN
40,A,PC,A,ED0-2,Y15-24,M,BE,,u,,u
41,A,PC,A,ED0-2,Y15-24,M,BG,,u,,u
42,A,PC,A,ED0-2,Y15-24,M,CH,58.6,u,57.8,u
43,A,PC,A,ED0-2,Y15-24,M,CY,75.5,u,,u
44,A,PC,A,ED0-2,Y15-24,M,CZ,,u,,u
45,A,PC,A,ED0-2,Y15-24,M,DE,47.2,NaN,,bu
46,A,PC,A,ED0-2,Y15-24,M,DK,64.0,b,60.4,u
47,A,PC,A,ED0-2,Y15-24,M,EA20,45.1,NaN,38.0,NaN
48,A,PC,A,ED0-2,Y15-24,M,EE,,u,,u
49,A,PC,A,ED0-2,Y15-24,M,EL,,u,,u
50,A,PC,A,ED0-2,Y15-24,M,ES,74.2,NaN,67.6,NaN
51,A,PC,A,ED0-2,Y15-24,M,EU27_2020,43.0,NaN,37.0,NaN
52,A,PC,A,ED0-2,Y15-24,M,FI,52.4,u,,u
