freq,size_emp,nace_r2,indic_is,unit,geo,num_2020,flag_2020,num_2022,flag_2022,num_2024,flag_2024
A,GE10,C,E_ITSP2,PC_ENT,AL,,NaN,11.22,b,,NaN
A,GE10,C,E_ITSP2,PC_ENT,AT,28.74,NaN,28.37,NaN,30.02,NaN
A,GE10,C,E_ITSP2,PC_ENT,BA,12.92,NaN,12.46,NaN,13.91,NaN
A,GE10,C,E_ITSP2,PC_ENT,BE,,u,35.46,NaN,35.31,NaN
A,GE10,C,E_ITSP2,PC_ENT,BG,15.16,NaN,14.73,NaN,15.53,NaN
A,GE10,C,E_ITSP2,PC_ENT,CY,14.23,NaN,16.29,NaN,14.93,NaN
A,GE10,C,E_ITSP2,PC_ENT,CZ,21.66,NaN,21.42,NaN,23.05,NaN
A,GE10,C,E_ITSP2,PC_ENT,DE,24.97,NaN,25.82,NaN,26.81,NaN
A,GE10,C,E_ITSP2,PC_ENT,DK,30.07,NaN,31.99,NaN,26.96,NaN
A,GE10,C,E_ITSP2,PC_ENT,EA,19.81,NaN,20.41,NaN,20.03,NaN
A,GE10,C,E_ITSP2,PC_ENT,EE,14.83,NaN,14.37,NaN,16.71,NaN
A,GE10,C,E_ITSP2,PC_ENT,EL,,u,17.08,NaN,19.06,NaN
A,GE10,C,E_ITSP2,PC_ENT,ES,17.03,NaN,13.05,NaN,13.9,NaN
A,GE10,C,E_ITSP2,PC_ENT,EU15,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2,PC_ENT,EU27_2007,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2,PC_ENT,EU27_2020,20.63,NaN,21.45,NaN,20.62,NaN
A,GE10,C,E_ITSP2,PC_ENT,EU28,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2,PC_ENT,FI,34.04,NaN,33.07,NaN,33.73,NaN
A,GE10,C,E_ITSP2,PC_ENT,FR,19.15,NaN,20.45,b,17.55,NaN
A,GE10,C,E_ITSP2,PC_ENT,HR,16.61,NaN,15.15,NaN,14.29,NaN
A,GE10,C,E_ITSP2,PC_ENT,HU,30.72,NaN,34.97,NaN,30.38,NaN
A,GE10,C,E_ITSP2,PC_ENT,IE,33.48,NaN,36.91,NaN,38.11,NaN
A,GE10,C,E_ITSP2,PC_ENT,IS,12.1,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2,PC_ENT,IT,12.96,NaN,14.02,NaN,13.64,NaN
A,GE10,C,E_ITSP2,PC_ENT,LT,15.3,NaN,17.45,NaN,16.15,NaN
A,GE10,C,E_ITSP2,PC_ENT,LU,24.05,NaN,25.83,NaN,24.56,NaN
A,GE10,C,E_ITSP2,PC_ENT,LV,17.61,NaN,17.52,NaN,16.83,NaN
A,GE10,C,E_ITSP2,PC_ENT,ME,,u,20.8,NaN,17.76,NaN
A,GE10,C,E_ITSP2,PC_ENT,MK,,NaN,6.21,NaN,,NaN
