freq,unit,coicop18,geo,2020,2021,2022,2023,2024,2025
A,RCH_A_AVG,TOTAL,AL,2.2,2.3,6.6,5.3,2.6,2.3
A,RCH_A_AVG,TOTAL,AT,1.4,2.8,8.6,7.7,2.9,3.6
A,RCH_A_AVG,TOTAL,BE,0.4,3.2,10.3,2.3,4.3,3.0
A,RCH_A_AVG,TOTAL,BG,1.2,2.8,13.0,8.6,2.6,3.5
A,RCH_A_AVG,TOTAL,CH,-0.8,0.5,2.7,2.3,1.1,0.1
A,RCH_A_AVG,TOTAL,CY,-1.1,2.3,8.1,3.9,2.3,0.8
A,RCH_A_AVG,TOTAL,CZ,3.3,3.3,14.8,12.0,2.7,2.3
A,RCH_A_AVG,TOTAL,DE,0.4,3.2,8.7,6.0,2.5,2.3
A,RCH_A_AVG,TOTAL,DK,0.3,1.9,8.6,3.4,1.3,1.8
A,RCH_A_AVG,TOTAL,EA19,0.3,2.6,8.4,5.4,2.4,2.1
A,RCH_A_AVG,TOTAL,EA20,0.2,2.6,8.4,5.4,2.4,2.1
A,RCH_A_AVG,TOTAL,EA21,0.3,2.6,8.4,5.5,2.4,2.1
A,RCH_A_AVG,TOTAL,EE,-0.6,4.5,19.4,9.1,3.7,4.8
A,RCH_A_AVG,TOTAL,EL,-1.3,0.6,9.3,4.2,3.0,2.9
A,RCH_A_AVG,TOTAL,ES,-0.3,3.0,8.3,3.4,2.9,2.7
A,RCH_A_AVG,TOTAL,EU27_2020,0.7,2.9,9.2,6.4,2.6,2.5
A,RCH_A_AVG,TOTAL,FI,0.4,2.1,7.2,4.3,1.0,1.8
A,RCH_A_AVG,TOTAL,FR,0.5,2.1,5.9,5.7,2.3,0.9
A,RCH_A_AVG,TOTAL,HR,0.0,2.7,10.7,8.4,4.0,4.4
A,RCH_A_AVG,TOTAL,HU,3.4,5.2,15.3,17.0,3.7,4.4
A,RCH_A_AVG,TOTAL,IE,-0.5,2.4,8.1,5.2,1.3,2.1
A,RCH_A_AVG,TOTAL,IS,1.2,3.7,5.7,8.0,4.5,3.7
A,RCH_A_AVG,TOTAL,IT,-0.2,2.0,8.7,5.9,1.1,1.6
A,RCH_A_AVG,TOTAL,LT,1.1,4.6,18.9,8.7,0.9,3.4
A,RCH_A_AVG,TOTAL,LU,0.0,3.5,8.2,2.9,2.3,2.5
A,RCH_A_AVG,TOTAL,LV,0.1,3.2,17.2,9.1,1.3,3.8
A,RCH_A_AVG,TOTAL,ME,-0.5,2.5,11.9,8.7,3.6,4.1
A,RCH_A_AVG,TOTAL,MK,1.2,3.4,14.0,9.0,4.2,4.3
A,RCH_A_AVG,TOTAL,MT,0.8,0.7,6.1,5.6,2.4,2.4
A,RCH_A_AVG,TOTAL,NL,1.1,2.8,11.6,4.1,3.2,3.0
A,RCH_A_AVG,TOTAL,NO,1.2,3.9,6.2,5.7,2.8,2.8
A,RCH_A_AVG,TOTAL,PL,3.6,5.2,13.2,10.8,3.7,3.3
A,RCH_A_AVG,TOTAL,PT,-0.1,0.9,8.1,5.3,2.7,2.2
A,RCH_A_AVG,TOTAL,RO,2.3,4.1,12.0,9.7,5.8,6.8
A,RCH_A_AVG,TOTAL,RS,1.8,4.0,11.7,12.1,4.8,4.1
A,RCH_A_AVG,TOTAL,SE,0.7,2.7,8.1,5.9,2.0,2.6
A,RCH_A_AVG,TOTAL,SI,-0.3,2.0,9.3,7.2,2.0,2.5
A,RCH_A_AVG,TOTAL,SK,2.0,2.8,12.1,11.0,3.2,4.2
A,RCH_A_AVG,TOTAL,UK,,,,,,
A,RCH_A_AVG,TOTAL,US,0.8,5.3,8.7,3.0,2.0,
A,RCH_A_AVG,TOTAL,XK,0.2,3.4,11.6,4.9,1.6,3.9
