year,geo,inter_rt_mean
2016,BE,2.6508333333333334
2017,BE,2.3208333333333333
2018,BE,2.1333333333333333
2019,BE,2.0108333333333333
2020,BE,1.8241666666666667
2021,BE,1.6916666666666667
2022,BE,1.7625
2023,BE,2.6366666666666667
2024,BE,3.0341666666666662
2025,BE,2.9625
2016,DE,2.585
2017,DE,2.3241666666666667
2018,DE,2.129166666666667
2019,DE,1.9649999999999999
2020,DE,1.8016666666666667
2021,DE,1.6558333333333335
2022,DE,1.7125000000000001
2023,DE,2.2933333333333334
2024,DE,2.589166666666667
2025,DE,2.5549999999999997
2016,EE,2.06
2017,EE,2.0275
2018,EE,2.0425
2019,EE,2.1358333333333333
2020,EE,2.2433333333333336
2021,EE,2.1666666666666665
2022,EE,2.5641666666666665
2023,EE,5.549166666666667
2024,EE,5.968333333333334
2025,EE,4.66625
2016,IE,2.9458333333333333
2017,IE,2.980833333333333
2018,IE,3.0641666666666665
2019,IE,3.0733333333333337
2020,IE,3.0308333333333333
2021,IE,2.8608333333333333
2022,IE,3.1991666666666667
2023,IE,5.1466666666666665
2024,IE,5.329166666666667
2025,IE,4.595
2016,ES,2.2258333333333336
2017,ES,2.049166666666667
2018,ES,1.9708333333333332
2019,ES,1.8658333333333335
2020,ES,1.7908333333333335
2021,ES,1.75
2022,ES,1.9791666666666667
2023,ES,3.67
2024,ES,4.150833333333334
2025,ES,3.53625
2016,FR,2.36
2017,FR,2.0933333333333333
2018,FR,1.925
2019,FR,1.7991666666666666
2020,FR,1.6241666666666668
2021,FR,1.49
2022,FR,1.5533333333333335
2023,FR,2.459166666666667
2024,FR,2.9783333333333335
2025,FR,2.9074999999999998
2016,HR,4.6033333333333335
2017,HR,4.119166666666667
2018,HR,3.575833333333333
2019,HR,3.1333333333333333
2020,HR,2.795
2021,HR,2.455833333333333
2022,HR,2.455
2023,HR,3.7100000000000004
2024,HR,4.221666666666667
2025,HR,3.73625
2016,IT,2.6483333333333334
2017,IT,2.4183333333333334
2018,IT,2.255
2019,IT,2.16
2020,IT,2.005
2021,IT,1.8333333333333333
2022,IT,2.1333333333333333
2023,IT,4.5874999999999995
2024,IT,5.279166666666667
2025,IT,4.31375
2016,CY,4.2275
2017,CY,3.8183333333333334
2018,CY,3.473333333333333
2019,CY,3.138333333333333
2020,CY,2.970833333333333
2021,CY,2.9275
2022,CY,3.230833333333333
2023,CY,5.360833333333333
2024,CY,5.656666666666666
2025,CY,4.50625
2016,LV,2.345
2017,LV,2.379166666666667
2018,LV,2.3333333333333335
2019,LV,2.3375
2020,LV,2.5341666666666667
2021,LV,2.6625
2022,LV,2.845
2023,LV,5.458333333333333
2024,LV,5.915
2025,LV,4.717499999999999
2016,LT,2.0399999999999996
2017,LT,2.0349999999999997
2018,LT,2.0991666666666666
2019,LT,2.3075
2020,LT,2.4533333333333336
2021,LT,2.540833333333333
2022,LT,2.9233333333333333
2023,LT,5.605
2024,LT,5.9875
2025,LT,4.79
2016,LU,1.9741666666666664
2017,LU,1.8158333333333332
2018,LU,1.7583333333333335
2019,LU,1.6766666666666667
2020,LU,1.62
2021,LU,1.6291666666666667
2022,LU,1.8724999999999998
2023,LU,3.7424999999999997
2024,LU,4.1025
2025,LU,3.42625
2016,MT,3.9133333333333336
2017,MT,3.7733333333333334
2018,MT,3.5866666666666664
2019,MT,3.5275
2020,MT,3.454166666666667
2021,MT,3.4425000000000003
2022,MT,3.7841666666666662
2023,MT,5.064166666666666
2024,MT,5.105833333333333
2025,MT,4.70375
2016,NL,3.034166666666667
2017,NL,2.8825000000000003
2018,NL,2.775
2019,NL,2.6858333333333335
2020,NL,2.5425
2021,NL,2.379166666666667
2022,NL,2.4533333333333336
2023,NL,3.3358333333333334
2024,NL,3.5641666666666665
2025,NL,3.36125
2016,AT,2.0258333333333334
2017,AT,1.8558333333333332
2018,AT,1.7874999999999999
2019,AT,1.71
2020,AT,1.6208333333333333
2021,AT,1.5425000000000002
2022,AT,1.7275
2023,AT,3.7125
2024,AT,4.155833333333333
2025,AT,3.42375
2016,PT,2.74
2017,PT,2.5725000000000002
2018,PT,2.4516666666666667
2019,PT,2.3625000000000003
2020,PT,2.1808333333333336
2021,PT,2.0574999999999997
2022,PT,2.3325
2023,PT,4.755
2024,PT,5.308333333333334
2025,PT,4.305
2016,SI,2.2508333333333335
2017,SI,2.105
2018,SI,2.0258333333333334
2019,SI,1.9241666666666666
2020,SI,1.8458333333333334
2021,SI,1.7925000000000002
2022,SI,1.9991666666666665
2023,SI,4.479166666666667
2024,SI,4.819999999999999
2025,SI,3.81
2016,SK,2.6458333333333335
2017,SK,2.4258333333333333
2018,SK,2.3608333333333333
2019,SK,2.3233333333333333
2020,SK,2.2841666666666667
2021,SK,2.3116666666666665
2022,SK,2.4966666666666666
2023,SK,4.578333333333333
2024,SK,4.9750000000000005
2025,SK,4.15
2016,FI,1.3966666666666665
2017,FI,1.2883333333333333
2018,FI,1.2525
2019,FI,1.2216666666666667
2020,FI,1.1925
2021,FI,1.1683333333333332
2022,FI,1.4525
2023,FI,3.8325
2024,FI,4.350833333333333
2025,FI,3.4375
