freq,age,sex,nace_r2,isco08,unit,geo,num_2020,flag_2020,num_2021,flag_2021,num_2022,flag_2022,num_2023,flag_2023,num_2024,flag_2024
A,Y20-64,F,A,NRP,THS_PER,CH,,u,,bu,,u,,u,1.2,u
A,Y20-64,F,A,NRP,THS_PER,DE,,bu,,bu,,u,,u,,u
A,Y20-64,F,A,NRP,THS_PER,DK,,NaN,,bu,,NaN,,bu,,u
A,Y20-64,F,A,NRP,THS_PER,EA20,,u,,bu,,u,,u,,u
A,Y20-64,F,A,NRP,THS_PER,EU27_2020,,u,,bu,,u,,u,,u
A,Y20-64,F,A,NRP,THS_PER,FI,,NaN,,NaN,,NaN,,u,,NaN
A,Y20-64,F,A,NRP,THS_PER,FR,,u,,bu,,u,,u,,u
A,Y20-64,F,A,NRP,THS_PER,HR,,u,,NaN,,NaN,,NaN,,NaN
A,Y20-64,F,A,NRP,THS_PER,IE,,NaN,,bu,,NaN,,NaN,,u
A,Y20-64,F,A,NRP,THS_PER,IS,,NaN,,NaN,,NaN,,NaN,,NaN
A,Y20-64,F,A,NRP,THS_PER,IT,,NaN,,NaN,,NaN,,NaN,,NaN
A,Y20-64,F,A,NRP,THS_PER,LU,,NaN,,NaN,,u,,u,,NaN
A,Y20-64,F,A,NRP,THS_PER,LV,,NaN,,bu,,NaN,,NaN,,NaN
A,Y20-64,F,A,NRP,THS_PER,NL,,u,1.8,bu,,u,,u,,u
A,Y20-64,F,A,NRP,THS_PER,NO,,NaN,,NaN,,u,,u,,NaN
A,Y20-64,F,A,NRP,THS_PER,PL,,u,,bu,,u,,u,,u
A,Y20-64,F,A,NRP,THS_PER,RS,,NaN,,NaN,,NaN,,NaN,,NaN
A,Y20-64,F,A,NRP,THS_PER,SE,,NaN,,NaN,,NaN,,NaN,,NaN
A,Y20-64,F,A,NRP,THS_PER,SI,,NaN,,NaN,,NaN,,NaN,,NaN
A,Y20-64,F,A,NRP,THS_PER,UK,,NaN,,NaN,,NaN,,NaN,,NaN
A,Y20-64,F,A,OC0,THS_PER,CY,,NaN,,NaN,,NaN,,NaN,,NaN
A,Y20-64,F,A,OC0,THS_PER,EA20,,NaN,,bu,,u,,NaN,,NaN
A,Y20-64,F,A,OC0,THS_PER,EU27_2020,,u,,bu,,u,,NaN,,NaN
A,Y20-64,F,A,OC0,THS_PER,FR,,NaN,,NaN,,NaN,,NaN,,NaN
A,Y20-64,F,A,OC0,THS_PER,NO,,u,,NaN,,NaN,,NaN,,NaN
A,Y20-64,F,A,OC0,THS_PER,PL,,u,,NaN,,NaN,,NaN,,NaN
A,Y20-64,F,A,OC0,THS_PER,SI,,NaN,,bu,,u,,NaN,,NaN
A,Y20-64,F,A,OC0,THS_PER,UK,,NaN,,NaN,,NaN,,NaN,,NaN
A,Y20-64,F,A,OC1,THS_PER,AT,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC1,THS_PER,BA,,NaN,,bu,,u,,u,,u
A,Y20-64,F,A,OC1,THS_PER,BE,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC1,THS_PER,BG,,u,,bu,,u,,u,,bu
A,Y20-64,F,A,OC1,THS_PER,CH,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC1,THS_PER,CZ,,u,1.2,bu,1.0,u,0.9,u,0.6,u
A,Y20-64,F,A,OC1,THS_PER,DE,,bu,,bu,,u,,u,,u
A,Y20-64,F,A,OC1,THS_PER,DK,,NaN,,bu,,u,,NaN,,NaN
A,Y20-64,F,A,OC1,THS_PER,EA20,,u,20.4,bu,21.6,u,30.8,NaN,27.9,NaN
A,Y20-64,F,A,OC1,THS_PER,EE,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC1,THS_PER,EL,,u,,NaN,,u,,u,,NaN
A,Y20-64,F,A,OC1,THS_PER,ES,4.6,u,4.1,bdu,5.5,d,6.6,d,7.2,d
A,Y20-64,F,A,OC1,THS_PER,EU27_2020,,u,28.3,b,30.4,NaN,42.3,NaN,38.3,NaN
A,Y20-64,F,A,OC1,THS_PER,FI,,u,,bu,,NaN,,NaN,,NaN
A,Y20-64,F,A,OC1,THS_PER,FR,,u,5.4,bdu,7.2,du,12.6,d,9.8,du
A,Y20-64,F,A,OC1,THS_PER,HR,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC1,THS_PER,HU,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC1,THS_PER,IE,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC1,THS_PER,IS,,bu,,bu,,u,,u,,u
A,Y20-64,F,A,OC1,THS_PER,IT,,u,,bu,,u,,u,1.8,u
A,Y20-64,F,A,OC1,THS_PER,LT,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC1,THS_PER,LU,,NaN,,NaN,,u,,NaN,,NaN
A,Y20-64,F,A,OC1,THS_PER,LV,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC1,THS_PER,ME,,NaN,,NaN,,NaN,,NaN,,NaN
A,Y20-64,F,A,OC1,THS_PER,MK,,u,,NaN,,NaN,,NaN,,NaN
A,Y20-64,F,A,OC1,THS_PER,MT,,NaN,,bu,,u,,NaN,,NaN
A,Y20-64,F,A,OC1,THS_PER,NL,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC1,THS_PER,NO,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC1,THS_PER,PL,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC1,THS_PER,PT,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC1,THS_PER,RO,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC1,THS_PER,RS,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC1,THS_PER,SE,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC1,THS_PER,SI,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC1,THS_PER,SK,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC1,THS_PER,TR,0.6,u,1.3,bu,0.9,u,1.1,u,,u
A,Y20-64,F,A,OC1,THS_PER,UK,,NaN,,NaN,,NaN,,NaN,,NaN
A,Y20-64,F,A,OC2,THS_PER,AT,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC2,THS_PER,BA,,NaN,1.6,bu,1.3,u,0.8,u,,u
A,Y20-64,F,A,OC2,THS_PER,BE,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC2,THS_PER,BG,,u,,bu,,u,,u,3.4,bu
A,Y20-64,F,A,OC2,THS_PER,CH,,u,1.1,bu,,u,,u,2.0,u
A,Y20-64,F,A,OC2,THS_PER,CY,,u,,NaN,,u,,u,,NaN
A,Y20-64,F,A,OC2,THS_PER,CZ,2.4,u,1.3,bu,1.2,u,1.6,u,3.2,NaN
A,Y20-64,F,A,OC2,THS_PER,DE,,bu,,bu,,u,,u,,u
A,Y20-64,F,A,OC2,THS_PER,DK,,u,,bu,,u,,bu,,u
A,Y20-64,F,A,OC2,THS_PER,EA20,25.8,u,31.6,b,30.1,NaN,28.3,NaN,32.7,NaN
A,Y20-64,F,A,OC2,THS_PER,EE,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC2,THS_PER,EL,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC2,THS_PER,ES,2.5,u,1.3,bdu,1.5,du,2.2,du,2.3,du
A,Y20-64,F,A,OC2,THS_PER,EU27_2020,45.3,NaN,50.8,b,50.1,NaN,47.9,NaN,51.3,NaN
A,Y20-64,F,A,OC2,THS_PER,FI,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC2,THS_PER,FR,,u,,bu,,u,,u,6.7,du
A,Y20-64,F,A,OC2,THS_PER,HR,,u,1.0,bu,,u,1.2,u,1.3,u
A,Y20-64,F,A,OC2,THS_PER,HU,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC2,THS_PER,IE,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC2,THS_PER,IS,,NaN,,bu,,u,,NaN,,u
A,Y20-64,F,A,OC2,THS_PER,IT,,u,2.3,bu,3.2,u,,u,,u
A,Y20-64,F,A,OC2,THS_PER,LT,,u,,bu,1.3,u,1.1,u,,u
A,Y20-64,F,A,OC2,THS_PER,LU,,NaN,,NaN,,u,,u,,NaN
A,Y20-64,F,A,OC2,THS_PER,LV,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC2,THS_PER,ME,,u,,NaN,,NaN,,NaN,,NaN
A,Y20-64,F,A,OC2,THS_PER,MK,,u,,NaN,,NaN,,NaN,,NaN
A,Y20-64,F,A,OC2,THS_PER,MT,,NaN,,bu,,u,,u,,NaN
A,Y20-64,F,A,OC2,THS_PER,NL,1.9,u,4.1,b,3.9,NaN,3.7,NaN,3.3,NaN
A,Y20-64,F,A,OC2,THS_PER,NO,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC2,THS_PER,PL,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC2,THS_PER,PT,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC2,THS_PER,RO,,u,,bu,7.1,u,7.7,u,,u
A,Y20-64,F,A,OC2,THS_PER,RS,,u,1.4,bu,,u,1.7,u,,u
A,Y20-64,F,A,OC2,THS_PER,SE,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC2,THS_PER,SI,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC2,THS_PER,SK,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC2,THS_PER,TR,1.6,u,3.6,b,1.8,u,2.3,NaN,2.5,u
A,Y20-64,F,A,OC2,THS_PER,UK,,NaN,,NaN,,NaN,,NaN,,NaN
A,Y20-64,F,A,OC3,THS_PER,AT,,u,,bu,,u,,u,,u
A,Y20-64,F,A,OC3,THS_PER,BA,,NaN,1.4,bu,1.2,u,1.0,u,1.2,u
