freq,size_emp,nace_r2,indic_is,unit,geo,num_2020,flag_2020,num_2022,flag_2022,num_2024,flag_2024
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,AT,3.96,NaN,5.5,NaN,5.18,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,BA,2.9,NaN,7.08,NaN,5.36,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,BE,,u,8.87,NaN,15.82,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,BG,,u,1.8,NaN,0.57,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,CY,11.28,NaN,8.62,NaN,9.51,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,CZ,12.97,NaN,9.91,NaN,13.46,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,DE,9.71,NaN,10.89,NaN,10.85,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,DK,9.29,NaN,8.93,NaN,14.63,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,EA,7.65,NaN,8.92,NaN,9.85,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,EE,5.66,NaN,5.8,NaN,6.59,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,EL,,u,4.35,NaN,4.31,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,ES,7.13,NaN,8.42,NaN,10.11,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,EU15,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,EU27_2007,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,EU27_2020,7.48,NaN,8.56,NaN,9.59,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,EU28,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,FI,16.86,NaN,17.72,NaN,12.58,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,FR,4.72,NaN,4.37,b,5.08,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,HR,9.35,NaN,8.98,NaN,9.19,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,HU,5.84,NaN,3.77,NaN,5.04,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,IE,12.67,NaN,9.67,NaN,7.44,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,IT,7.53,NaN,9.71,NaN,11.55,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,LT,4.8,NaN,3.72,NaN,5.41,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,LU,3.63,NaN,9.73,NaN,9.84,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,LV,4.61,NaN,4.38,NaN,2.43,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,ME,,u,15.43,NaN,12.79,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,MK,,u,,u,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,MT,6.1,NaN,4.01,NaN,6.49,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,NL,1.81,NaN,7.79,NaN,8.12,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,NO,17.66,NaN,20.87,NaN,16.98,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,PL,5.07,NaN,7.26,NaN,9.12,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,PT,8.83,NaN,8.53,NaN,13.3,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,RO,1.41,NaN,2.38,NaN,3.24,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,RS,3.92,NaN,11.13,NaN,6.48,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,SE,22.73,NaN,22.23,NaN,19.21,b
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,SI,12.07,NaN,14.28,NaN,12.21,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,SK,5.53,NaN,6.61,NaN,5.03,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,TR,4.04,NaN,6.03,NaN,5.85,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,UK,6.58,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,AT,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,BA,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,BE,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,BG,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,CY,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,CZ,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,DE,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,DK,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,EA,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,EE,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,EL,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,ES,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,EU15,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,EU27_2007,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,EU27_2020,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,EU28,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,FI,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,FR,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,HR,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,HU,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,IE,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,IT,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,LT,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,LU,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,LV,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,ME,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,MK,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,MT,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,NL,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,NO,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,PL,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,PT,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,RO,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,RS,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,SE,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,SI,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,SK,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,TR,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,UK,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,AL,,NaN,,u,,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,AT,16.29,NaN,18.41,NaN,20.32,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,BA,10.11,NaN,5.77,NaN,8.83,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,BE,,u,25.03,NaN,24.3,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,BG,4.48,NaN,4.68,NaN,5.26,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,CY,8.41,NaN,11.89,NaN,7.9,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,CZ,14.64,NaN,13.85,NaN,14.89,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,DE,16.82,NaN,16.91,NaN,17.88,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,DK,19.49,NaN,21.52,NaN,19.65,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,EA,12.29,NaN,12.82,NaN,12.59,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,EE,8.97,NaN,7.35,NaN,8.98,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,EL,,u,9.65,NaN,8.86,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,ES,10.91,NaN,8.58,NaN,9.04,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,EU15,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,EU27_2007,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,EU27_2020,11.84,NaN,12.77,NaN,13.15,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,EU28,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,FI,22.02,NaN,22.85,NaN,22.9,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,FR,11.19,NaN,12.19,b,9.52,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,HR,9.71,NaN,9.28,NaN,7.73,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,HU,11.4,NaN,13.78,NaN,12.4,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,IE,19.14,NaN,18.73,NaN,21.56,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,IT,6.98,NaN,8.58,NaN,8.42,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,LT,7.93,NaN,7.48,NaN,8.26,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,LU,15.18,NaN,20.13,NaN,18.5,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,LV,7.98,NaN,7.33,NaN,7.28,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,ME,,u,8.16,NaN,10.23,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,MK,4.32,NaN,4.55,NaN,,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,MT,13.52,NaN,17.63,NaN,22.07,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,NL,17.31,NaN,20.84,NaN,19.69,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,NO,14.96,NaN,15.73,NaN,14.34,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,PL,11.07,NaN,15.5,NaN,19.97,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,PT,10.86,NaN,9.77,NaN,10.09,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,RO,2.97,NaN,3.99,NaN,7.52,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,RS,11.94,NaN,11.1,NaN,11.67,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,SE,16.36,NaN,16.33,NaN,16.84,b
A,GE10,C,E_ITSP2_ITT2,PC_ENT,SI,12.74,NaN,18.06,NaN,13.41,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,SK,12.3,NaN,11.21,NaN,11.76,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,TR,6.53,NaN,8.64,NaN,8.04,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT,UK,16.47,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,AT,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,BA,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,BE,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,BG,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,CY,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,CZ,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,DE,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,DK,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,EA,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,EE,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,EL,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,ES,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,EU15,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,EU27_2007,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,EU27_2020,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,EU28,,NaN,,NaN,,NaN
A,GE10,C,E_ITSP2_ITT2,PC_ENT_CUSE,FI,,NaN,,NaN,,NaN
