freq,age,unit,sex,geo,2020,2021,2022,2023,2024
A,Y15-74,PC_ACT,T,AT,6.0,6.2,4.8,5.1,5.2
A,Y15-74,PC_ACT,T,BA,,17.4,15.4,13.2,12.6
A,Y15-74,PC_ACT,T,BE,5.8,6.3,5.6,5.5,5.7
A,Y15-74,PC_ACT,T,BG,6.1,5.2,4.2,4.3,4.2
A,Y15-74,PC_ACT,T,CH,4.8,5.1,4.1,4.1,4.4
A,Y15-74,PC_ACT,T,CY,7.6,7.2,6.3,5.8,4.9
A,Y15-74,PC_ACT,T,CZ,2.6,2.8,2.2,2.6,2.6
A,Y15-74,PC_ACT,T,DE,3.6,3.6,3.1,3.1,3.4
A,Y15-74,PC_ACT,T,DK,5.6,5.1,4.5,5.1,6.2
A,Y15-74,PC_ACT,T,EA20,8.0,7.8,6.8,6.6,6.4
A,Y15-74,PC_ACT,T,EA21,7.9,7.7,6.7,6.5,6.3
A,Y15-74,PC_ACT,T,EE,6.9,6.2,5.6,6.4,7.6
A,Y15-74,PC_ACT,T,EL,17.6,14.7,12.5,11.1,10.1
A,Y15-74,PC_ACT,T,ES,15.5,14.9,13.0,12.2,11.4
A,Y15-74,PC_ACT,T,EU27_2020,7.2,7.1,6.2,6.1,5.9
A,Y15-74,PC_ACT,T,FI,7.7,7.7,6.8,7.2,8.4
A,Y15-74,PC_ACT,T,FR,8.0,7.9,7.3,7.3,7.4
A,Y15-74,PC_ACT,T,HR,7.4,7.5,6.8,6.1,5.0
A,Y15-74,PC_ACT,T,HU,4.1,4.0,3.6,4.1,4.5
A,Y15-74,PC_ACT,T,IE,5.9,6.2,4.5,4.3,4.3
A,Y15-74,PC_ACT,T,IS,5.5,6.1,3.8,3.5,3.6
A,Y15-74,PC_ACT,T,IT,9.3,9.5,8.1,7.7,6.5
A,Y15-74,PC_ACT,T,LT,8.5,7.1,6.0,6.9,7.1
A,Y15-74,PC_ACT,T,LU,6.8,5.3,4.6,5.2,6.4
A,Y15-74,PC_ACT,T,LV,8.1,7.6,6.9,6.5,6.9
A,Y15-74,PC_ACT,T,ME,17.9,,,,
A,Y15-74,PC_ACT,T,MK,16.4,15.5,14.4,13.1,12.3
A,Y15-74,PC_ACT,T,MT,4.9,3.8,3.5,3.5,3.2
A,Y15-74,PC_ACT,T,NL,4.9,4.2,3.5,3.6,3.7
A,Y15-74,PC_ACT,T,NO,4.7,4.4,3.2,3.6,4.0
A,Y15-74,PC_ACT,T,PL,3.2,3.4,2.9,2.8,2.9
A,Y15-74,PC_ACT,T,PT,7.1,6.7,6.2,6.5,6.5
A,Y15-74,PC_ACT,T,RO,6.1,5.6,5.6,5.6,5.4
A,Y15-74,PC_ACT,T,RS,9.8,11.2,9.6,9.5,8.6
A,Y15-74,PC_ACT,T,SE,8.5,8.9,7.5,7.7,8.4
A,Y15-74,PC_ACT,T,SI,5.0,4.8,4.0,3.7,3.7
A,Y15-74,PC_ACT,T,SK,6.7,6.8,6.1,5.8,5.3
A,Y15-74,PC_ACT,T,TR,13.2,12.0,10.5,9.4,8.8
A,Y15-74,PC_POP,T,AT,4.1,4.2,3.3,3.5,3.6
A,Y15-74,PC_POP,T,BA,,9.0,7.9,6.8,6.7
A,Y15-74,PC_POP,T,BE,3.4,3.8,3.4,3.4,3.5
A,Y15-74,PC_POP,T,BG,3.7,3.2,2.6,2.7,2.6
A,Y15-74,PC_POP,T,CH,3.7,3.8,3.1,3.1,3.3
A,Y15-74,PC_POP,T,CY,5.2,5.0,4.5,4.2,3.5
A,Y15-74,PC_POP,T,CZ,1.7,1.9,1.5,1.7,1.8
A,Y15-74,PC_POP,T,DE,2.5,2.5,2.2,2.2,2.4
A,Y15-74,PC_POP,T,DK,3.9,3.6,3.2,3.7,4.6
A,Y15-74,PC_POP,T,EA20,5.0,5.0,4.4,4.3,4.2
A,Y15-74,PC_POP,T,EA21,5.0,5.0,4.4,4.3,4.2
A,Y15-74,PC_POP,T,EE,5.0,4.4,4.1,4.7,5.6
A,Y15-74,PC_POP,T,EL,10.0,8.6,7.5,6.7,6.2
A,Y15-74,PC_POP,T,ES,9.9,9.6,8.5,8.0,7.4
A,Y15-74,PC_POP,T,EU27_2020,4.6,4.5,4.0,4.0,3.9
A,Y15-74,PC_POP,T,FI,5.1,5.2,4.6,5.0,5.8
A,Y15-74,PC_POP,T,FR,5.0,4.9,4.6,4.7,4.8
A,Y15-74,PC_POP,T,HR,4.2,4.4,4.0,3.6,3.0
A,Y15-74,PC_POP,T,HU,2.7,2.6,2.4,2.8,3.1
