freq,size_emp,nace_r2,indic_is,unit,geo\TIME_PERIOD	2012 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2022 	2024 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,AT	: 	: 	: 	17.86 	14.70 	14.47 	7.07 	3.96 	5.50 	5.18 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,BA	: 	: 	: 	: 	: 	: u	: u	2.90 	7.08 	5.36 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,BE	: 	: 	: 	: u	: u	: u	: u	: u	8.87 	15.82 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,BG	: 	: 	: 	: u	1.49 	1.30 	: u	: u	1.80 	0.57 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,CY	: 	: 	: 	3.54 	10.23 	11.55 	12.07 	11.28 	8.62 	9.51 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,CZ	: 	: 	: 	9.36 	9.47 	11.03 	11.91 	12.97 	9.91 	13.46 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,DE	: 	: 	: 	14.12 	15.15 	14.35 	16.51 	9.71 	10.89 	10.85 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,DK	: 	: 	: 	11.35 	9.52 	10.08 	9.63 	9.29 	8.93 	14.63 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,EA	: 	: 	: 	9.65 	10.26 	10.89 	12.13 	7.65 	8.92 	9.85 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,EE	: 	: 	: 	4.58 	5.08 	5.08 	6.12 	5.66 	5.80 	6.59 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,EL	: 	: 	: 	3.12 	3.02 	4.05 	4.12 	: u	4.35 	4.31 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,ES	: 	: 	: 	7.65 	10.84 	9.59 	10.18 	7.13 	8.42 	10.11 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,EU15	: 	: 	: 	10.21 	10.81 	11.38 	: 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,EU27_2007	: 	: 	: 	8.95 	9.44 	10.04 	: 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,EU27_2020	: 	: 	: 	8.64 	9.10 	9.71 	10.72 	7.48 	8.56 	9.59 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,EU28	: 	: 	: 	8.97 	9.43 	10.04 	10.78 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,FI	: 	: 	: 	17.80 	16.98 	20.87 	18.23 	16.86 	17.72 	12.58 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,FR	: 	: 	: 	8.97 	7.65 	8.39 	9.82 	4.72 	4.37 b	5.08 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,HR	: 	: 	: 	10.84 	8.49 	9.80 	10.80 	9.35 	8.98 	9.19 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,HU	: 	: 	: 	4.91 	5.21 	5.69 	5.25 	5.84 	3.77 	5.04 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,IE	: 	: 	: 	12.77 	11.44 	11.25 	13.23 	12.67 	9.67 	7.44 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,IT	: 	: 	: 	5.61 	7.18 	10.45 	10.79 b	7.53 	9.71 	11.55 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,LT	: 	: 	: 	2.90 	2.73 	2.32 	4.79 	4.80 	3.72 	5.41 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,LU	: 	: 	: 	9.67 	6.54 	9.68 	14.36 	3.63 	9.73 	9.84 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,LV	: 	: 	: 	: @C	2.17 	3.43 	7.72 	4.61 	4.38 	2.43 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,ME	: 	: 	: 	: u	: u	: u	: u	: u	15.43 	12.79 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,MK	: 	: 	: 	7.02 	: 	: 	: 	: u	: u	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,MT	: 	: 	: 	6.01 	11.29 	11.96 	13.21 	6.10 	4.01 	6.49 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,NL	: 	: 	: 	7.49 	6.14 	7.02 	: 	1.81 	7.79 	8.12 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,NO	: 	: 	: 	25.09 	22.46 	26.01 	29.88 	17.66 	20.87 	16.98 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,PL	: 	: 	: 	4.31 	4.57 	5.20 	3.92 	5.07 	7.26 	9.12 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,PT	: 	: 	: 	7.72 	7.69 	6.45 	8.86 	8.83 	8.53 	13.30 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,RO	: 	: 	: 	1.66 	1.04 	1.10 	1.02 	1.41 	2.38 	3.24 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,RS	: 	: 	: 	: 	22.59 	11.35 	9.63 	3.92 	11.13 	6.48 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,SE	: 	: 	: 	14.11 	14.31 	12.83 	23.46 b	22.73 	22.23 	19.21 b
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,SI	: 	: 	: 	14.13 	15.42 	15.50 	19.77 	12.07 	14.28 	12.21 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,SK	: 	: 	: 	5.55 	6.76 	9.19 	8.15 	5.53 	6.61 	5.03 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,TR	: 	: 	: 	: 	: 	9.10 	6.90 	4.04 	6.03 	5.85 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT,UK	: 	: 	: 	12.53 	13.16 	13.79 	11.55 	6.58 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,AT	: 	: 	: 	17.86 	14.76 	14.47 	7.07 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,BA	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,BE	: 	: 	: 	: u	: u	: u	: u	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,BG	: 	: 	: 	: u	1.54 	1.37 	: u	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,CY	: 	: 	: 	3.59 	10.55 	11.81 	12.26 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,CZ	: 	: 	: 	9.51 	9.59 	11.19 	12.13 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,DE	: 	: 	: 	14.34 	15.38 	14.47 	16.61 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,DK	: 	: 	: 	11.35 	9.52 	10.08 	9.63 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,EA	: 	: 	: 	9.75 	10.34 	10.98 	12.22 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,EE	: 	: 	: 	4.74 	5.20 	5.08 	6.13 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,EL	: 	: 	: 	3.28 	3.15 	4.30 	4.42 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,ES	: 	: 	: 	7.74 	10.90 	9.70 	10.31 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,EU15	: 	: 	: 	10.31 	10.90 	11.48 	: 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,EU27_2007	: 	: 	: 	9.13 	9.59 	10.21 	: 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,EU27_2020	: 	: 	: 	8.83 	9.25 	9.88 	10.90 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,EU28	: 	: 	: 	9.15 	9.59 	10.21 	10.96 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,FI	: 	: 	: 	17.80 	16.98 	20.87 	18.23 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,FR	: 	: 	: 	9.01 	7.65 	8.45 	9.84 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,HR	: 	: 	: 	12.20 	8.92 	10.44 	10.89 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,HU	: 	: 	: 	5.17 	5.45 	5.98 	5.47 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,IE	: 	: 	: 	12.83 	11.44 	11.28 	13.36 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,IT	: 	: 	: 	5.65 	7.20 	10.53 	10.85 b	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,LT	: 	: 	: 	2.90 	2.73 	2.32 	4.79 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,LU	: 	: 	: 	9.67 	6.54 	9.68 	14.36 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,LV	: 	: 	: 	: @C	2.19 	3.44 	7.77 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,ME	: 	: 	: 	: u	: u	: u	: u	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,MK	: 	: 	: 	7.42 	: 	: 	: 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,MT	: 	: 	: 	6.10 	11.61 	12.15 	13.27 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,NL	: 	: 	: 	7.49 	6.14 	7.02 	: 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,NO	: 	: 	: 	25.42 	22.64 	26.23 	29.99 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,PL	: 	: 	: 	4.54 	4.75 	5.39 	4.05 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,PT	: 	: 	: 	7.82 	7.81 	6.51 	8.94 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,RO	: 	: 	: 	1.90 	1.16 	1.24 	1.21 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,RS	: 	: 	: 	: 	22.59 	11.52 	9.63 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,SE	: 	: 	: 	14.11 	14.31 	12.83 	23.46 b	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,SI	: 	: 	: 	14.20 	15.42 	15.62 	19.81 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,SK	: 	: 	: 	5.62 	6.89 	9.32 	8.36 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,TR	: 	: 	: 	: 	: 	9.38 	7.10 	: 	: 	: 
A,GE10,C,E_ITSP2X_ITT2,PC_ENT_CUSE,UK	: 	: 	: 	12.70 	13.41 	13.98 	11.62 	: 	: 	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT,AL	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 
A,GE10,C,E_ITSP2_ITT2,PC_ENT,AT	: 	: 	: 	24.84 	20.79 	18.65 	19.77 	16.29 	18.41 	20.32 
A,GE10,C,E_ITSP2_ITT2,PC_ENT,BA	: 	: 	: 	: 	: 	7.24 	7.63 	10.11 	5.77 	8.83 
A,GE10,C,E_ITSP2_ITT2,PC_ENT,BE	: 	: 	: 	: u	: u	22.46 	: u	: u	25.03 	24.30 
A,GE10,C,E_ITSP2_ITT2,PC_ENT,BG	: 	: 	: 	4.73 	4.78 	3.98 	5.28 	4.48 	4.68 	5.26 
A,GE10,C,E_ITSP2_ITT2,PC_ENT,CY	: 	: 	: 	4.84 	8.09 	8.08 	11.35 	8.41 	11.89 	7.90 
A,GE10,C,E_ITSP2_ITT2,PC_ENT,CZ	: 	: 	: 	14.09 	14.54 	14.53 	14.64 	14.64 	13.85 	14.89 
A,GE10,C,E_ITSP2_ITT2,PC_ENT,DE	: 	: 	: 	17.14 	17.17 	17.82 	18.38 	16.82 	16.91 	17.88 
A,GE10,C,E_ITSP2_ITT2,PC_ENT,DK	: 	: 	: 	17.37 	15.83 	16.92 	16.86 	19.49 	21.52 	19.65 
