freq,unit,lcstruct,nace_r2,geo\TIME_PERIOD	2008 	2012 	2016 	2020 	2021 	2022 	2023 	2024 
A,EUR,D11,B,AL	: 	2.1 	2.7 	: 	: 	: 	: 	: 
A,EUR,D11,B,AT	22.2 	26.9 	28.1 	28.4 	28.8 	29.2 	31.7 p	34.3 
A,EUR,D11,B,BA	: 	6.3 	6.7 	: 	: 	: 	: 	: 
A,EUR,D11,B,BE	: 	30.3 	29.5 	31.3 	31.7 	34 	36.7 	37.6 
A,EUR,D11,B,BG	3.3 	5 	5.7 	8.1 	8.8 	10.3 	11.4 	12.2 
A,EUR,D11,B,CH	: 	36.6 	42.8 	: 	: 	: 	: 	: 
A,EUR,D11,B,CY	14.7 	13.9 	12.4 	13.6 	14.9 	15 	16.4 	17.1 
A,EUR,D11,B,CZ	8.7 	9.6 	8.8 	11.2 	11.8 	13.3 	14.9 	14.8 
A,EUR,D11,B,DE	25.1 	27 	30.4 	31.7 	32.2 	35.1 	37.6 	39.3 
A,EUR,D11,B,DK	33.7 	45.9 	44.8 	57.9 	: @C	: @C	: @C	: @C
A,EUR,D11,B,EA	18.3 	20.6 	22.3 	24.0 	: 	: 	: 	: 
A,EUR,D11,B,EA19	20.6 	24.3 	26.3 	27.6 	27.7 	28.6 	30 	31.2 
A,EUR,D11,B,EA20	20.6 	24 	26 	27.2 d	27.3 	28.2 	29.6 	30.7 
A,EUR,D11,B,EE	6.9 	: 	9.5 	11.3 	12.1 	13.1 	14.3 	15.2 
A,EUR,D11,B,EL	13.7 	14.6 	15.0 	11.5 	11.3 	10.7 	10.8 	13 
A,EUR,D11,B,ES	16.7 	22.6 	23.6 	25.1 	25.4 	23.4 	23.8 	24.8 
A,EUR,D11,B,EU15	24.5 	28.4 	31.1 	30.3 	: 	: 	: 	: 
A,EUR,D11,B,EU27_2020	13.7 	15.7 	17.1 	19.6 	20.1 	21.8 	23.8 	25.1 
A,EUR,D11,B,EU28	15.3 	17.5 	19.5 	: 	: 	: 	: 	: 
A,EUR,D11,B,FI	22.9 	28.2 	25.4 	32.7 	32.0 p	32.5 p	34.0 p	34.9 p
A,EUR,D11,B,FR	22.1 	21.9 	23.3 	26.5 	26.9 	27.6 	28.4 	29.6 
A,EUR,D11,B,HR	10.4 	9.6 	11 	10.8 	10.4 	10.4 	11.9 	13.1 
A,EUR,D11,B,HU	6.3 	6.9 	6.8 	8.7 	8.9 	9.5 	11.6 	13.1 
A,EUR,D11,B,IE	24.4 	27.1 	27 	27.9 	29 	33.2 	34.9 	34.9 
A,EUR,D11,B,IS	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,EUR,D11,B,IT	23.9 	30.3 	30.6 	32 	31.3 	32.2 	32.4 	31.6 
A,EUR,D11,B,LT	5.5 	5.2 	6.3 	10.6 	11.4 	12.2 	14.3 	15.5 
A,EUR,D11,B,LU	: 	23.8 	26.4 	31 	30.5 	32.2 	33.8 	35 
A,EUR,D11,B,LV	4.9 	5 	6.8 	8.8 	8.5 	9.5 	10.8 	12.2 
A,EUR,D11,B,ME	: 	5.5 	6.6 	: 	: 	: 	: 	: 
A,EUR,D11,B,MK	: 	3.8 	4.6 	: 	: 	: 	: 	: 
A,EUR,D11,B,MT	: 	: 	6.8 	10.1 	9.8 	9.7 	10.1 	9.6 
A,EUR,D11,B,NL	45.2 	46.5 	48.9 	50.3 	47.4 	47.3 	50.8 	: @C
A,EUR,D11,B,NO	: 	79.4 	70.6 	67.5 	72.2 	76.5 	70.2 	71.2 
A,EUR,D11,B,PL	10.4 	11.1 	10.8 	13.9 	14.2 	16.9 	20.4 	23.1 
A,EUR,D11,B,PT	9.1 	10.6 	11.6 	12.9 	13.9 	14.5 	15.4 	16.8 
A,EUR,D11,B,RO	6 	6.5 	8.2 	11.7 	12.1 	13.6 	15.5 	17 
A,EUR,D11,B,RS	: 	6.3 	6.7 	10.4 	11 	11.4 	12.8 	14.2 
A,EUR,D11,B,SE	23.9 	31.9 	30.4 	31.2 	33.7 	32.5 	32.5 	33.6 
A,EUR,D11,B,SI	15.5 	16.3 	18.6 	21.8 	23.1 	24.3 	27.1 	29.3 
A,EUR,D11,B,SK	0.2 	7.2 	8.9 	10.2 	10.9 	12.3 	12.3 	14.4 
A,EUR,D11,B,TR	: 	6.6 	7.1 	4.3 	4 	4.2 	5.8 	8.2 
A,EUR,D11,B,UK	30.3 	32.5 	36.1 	: 	: 	: 	: 	: 
A,EUR,D11,B-E,AL	: 	1.5 	1.8 	: 	: 	: 	: 	: 
A,EUR,D11,B-E,AT	21.7 	24.2 	26.6 	29.8 	30.1 	32 	34.3 p	36.6 
A,EUR,D11,B-E,BA	: 	4.5 	4.5 	: 	: 	: 	: 	: 
A,EUR,D11,B-E,BE	24.6 	29.1 	30.1 	31.9 	32.3 	34.5 	37.2 	38.4 
A,EUR,D11,B-E,BG	2 	2.7 	3.5 	5.1 	5.4 	6.4 	7.4 	8.3 
A,EUR,D11,B-E,CH	: 	39.7 	43.9 	: 	: 	: 	: 	: 
A,EUR,D11,B-E,CY	11.7 	12.6 	10.8 	11.2 	11.3 	11.7 	12.3 	12.9 
A,EUR,D11,B-E,CZ	6.5 	7.2 	7.5 	10.5 	11 	12.1 	13.4 	13.6 
A,EUR,D11,B-E,DE	25.3 	27.4 	30 	32.6 	32.7 	33.9 	35.7 	37.3 
A,EUR,D11,B-E,DK	30.4 	35.5 	38.2 	41.8 	43.2 	44.5 	45.8 	47.4 
A,EUR,D11,B-E,EA19	19.8 	22.6 	23.9 	26.1 	26.2 	27.2 	28.6 	29.9 
A,EUR,D11,B-E,EA20	19.8 	22.4 	23.7 	25.9 	26 	27 	28.4 	29.7 
A,EUR,D11,B-E,EE	5.4 	6.3 	7.8 	9.9 	10.4 	11.8 	12.6 	13.7 
A,EUR,D11,B-E,EL	13.3 	12.4 	12.4 	11.1 	11.1 	11.7 	12 	12.7 
A,EUR,D11,B-E,ES	15.2 	16.9 	17.2 	18.1 	17.9 	18.5 	19.4 	20.2 
A,EUR,D11,B-E,EU15	21.2 	23.8 	24.9 	27.3 	: 	: 	: 	: 
A,EUR,D11,B-E,EU27_2020	16.1 	18.4 	19.5 	21.7 	21.9 	22.9 	24.3 	25.5 
A,EUR,D11,B-E,EU28	16.0 	18.4 	19.8 	: 	: 	: 	: 	: 
A,EUR,D11,B-E,FI	23 	27.5 	29 	30.3 	31.9 p	32.9 p	33.9 p	34.8 p
A,EUR,D11,B-E,FR	22.1 	24 	25.1 	28.6 	28.8 	29.9 	31.2 	32.1 
A,EUR,D11,B-E,HR	7.3 	7.1 	7.4 	10.4 	10.7 	11.6 	13.1 	14.8 
A,EUR,D11,B-E,HU	5.5 	5.9 	6.4 	8.6 	9.1 	9.6 	11.7 	12.7 
A,EUR,D11,B-E,IE	24.2 	26.2 	26.1 	28.8 	29.9 	31 	32.7 	34.5 
A,EUR,D11,B-E,IS	16.6 d	19.0 d	30.1 d	32.1 d	35.8 p	40.8 p	42.5 p	45.4 p
A,EUR,D11,B-E,IT	17.1 	19.5 	19.7 	20.8 	20.4 	21 	21.8 	22.7 
A,EUR,D11,B-E,LT	4.1 	4.2 	5.4 	9.8 	10.7 	12.1 	13.4 	14.7 
A,EUR,D11,B-E,LU	25.8 	27.5 	29.2 	35.6 	36 	37.7 	40.1 	41.1 
A,EUR,D11,B-E,LV	4.3 	4.6 	6 	8.1 	8.3 	9.1 	10.2 	11.3 
A,EUR,D11,B-E,ME	: 	5.6 	5.4 	: 	: 	: 	: 	: 
