freq,unit,nace_r2,lcstruct,geo\TIME_PERIOD	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,I16,B,D11,AT	: 	: 	: 	: 	68.4 	69.2 	69.4 	72.1 	71.4 	74.0 	73.5 	76.0 	78.0 	81.9 	83.4 	86.3 	88.1 	88.9 	90.4 	93.5 	94.1 	94.1 	96.5 	97.1 	100.0 	101.0 	102.4 	: 	: 
A,I16,B,D11,BE	: 	: 	: 	: 	66.3 	68.3 	70.8 	72.0 	74.0 	75.7 	77.5 	78.6 	80.9 	82.9 	84.2 	85.9 	88.2 	89.7 	90.7 	90.9 	91.5 	93.6 	95.8 	98.4 	100.0 	101.4 	108.5 	: 	: 
A,I16,B,D11,BG	: 	: 	: 	: 	19.2 	20.4 	21.8 	22.5 	24.3 	26.7 	30.7 	36.1 	41.5 	46.2 	53.6 	57.1 	61.0 	62.1 	66.4 	67.3 	69.6 	79.9 	86.5 	90.3 	100.0 	107.7 	127.2 p	: 	: 
A,I16,B,D11,CY	: 	: 	: 	: 	85.0 	89.9 	93.7 	99.4 	99.7 	100.8 	106.4 	108.1 	114.0 	115.0 	110.9 	112.9 	101.9 	89.7 	89.4 	86.5 	91.0 	94.3 	110.4 	101.7 	100.0 	110.4 	110.9 	: 	: 
A,I16,B,D11,CZ	: 	: 	: 	: 	42.3 	46.4 	49.3 	50.1 	53.1 	57.1 	60.8 	65.0 	72.8 	70.2 	74.4 	78.1 	81.3 	78.9 	77.9 	79.9 	80.2 	84.9 	91.3 	94.7 	100.7 	102.0 	110.3 	: 	: 
A,I16,B,D11,DE	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	79.3 	81.5 	80.2 	82.7 	85.6 	92.6 	92.8 	95.7 	95.8 	98.5 	99.0 	102.2 	100.0 	101.6 	110.6 b	: 	: 
A,I16,B,D11,DK	: 	: 	: 	: 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: 	: 
A,I16,B,D11,EA	: 	: 	: 	: 	: 	60.3 	61.6 	62.3 	62.2 	65.7 	67.0 	69.3 	73.5 	76.1 	78.0 	80.7 	83.3 	86.3 	87.5 	90.7 	92.0 	92.9 	94.8 	97.6 	100.0 	100.4 	103.8 	108.8 	113.2 
A,I16,B,D11,EA19	: 	: 	: 	: 	: 	59.6 	60.9 	61.7 	61.7 	65.3 	66.6 	69.1 	73.5 	76.0 	77.9 	80.6 	83.2 	86.1 	87.4 	90.6 	91.9 	92.8 	94.7 	97.5 	100.0 	100.4 	103.8 	108.8 	113.1 
A,I16,B,D11,EA20	: 	: 	: 	: 	: 	59.8 	61.2 	62.0 	62.0 	65.6 	66.9 	69.4 	73.8 	76.3 	78.2 	80.9 	83.4 	86.4 	87.7 	90.8 	92.2 	93.1 	94.8 	97.6 	100.0 	100.3 	103.7 	108.8 	113.1 
