freq,unit,coicop,geo\TIME_PERIOD	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,CID_EA,TOT_X_NRG_FOOD,AT	: 	: 	: 	: 	: 	: 	-0.4 	-0.6 	-0.3 	-0.1 	-0.2 	-0.2 	-0.1 	0.3 	0.3 	1.1 	0.6 	1.1 	0.9 	0.7 	0.8 	1.1 	0.8 	0.6 	1.3 	0.8 	1.1 	2.4 	1.1 
A,CID_EA,TOT_X_NRG_FOOD,BE	: 	: 	: 	: 	: 	: 	-0.3 	-0.3 	-0.6 	-0.1 	0.1 	-0.5 	0.0 	0.7 	0.2 	0.1 	0.3 	0.4 	0.7 	0.6 	0.9 	0.5 	0.3 	0.5 	0.7 	-0.2 	0.0 	1.0 	0.5 
A,CID_EA,TOT_X_NRG_FOOD,BG	: 	: 	: 	: 	: 	: 	5.3 	0.3 	0.3 	3.4 	3.7 	4.7 	8.3 	3.3 	0.1 	-0.5 	-0.5 	-1.1 	-2.4 	-1.7 	-1.8 	-1.5 	1.1 	0.8 	0.5 	-0.1 	3.7 	4.0 	0.3 
A,CID_EA,TOT_X_NRG_FOOD,CY	: 	: 	: 	: 	: 	: 	-1.4 	0.1 	-2.0 	-0.8 	-1.1 	-0.4 	0.6 	0.5 	-0.5 	-0.2 	0.1 	-1.4 	-0.6 	-1.5 	-1.6 	-0.6 	-0.9 	-0.2 	-1.5 	-0.1 	1.0 	-1.1 	-0.2 
A,CID_EA,TOT_X_NRG_FOOD,CZ	: 	: 	: 	: 	: 	: 	0.1 	-1.2 	0.1 	-0.4 	-0.5 	-0.3 	2.2 	-1.0 	-1.0 	-1.5 	0.0 	-0.7 	-0.3 	-0.3 	0.4 	0.9 	0.7 	1.1 	2.4 	2.1 	8.1 	4.4 	1.2 
A,CID_EA,TOT_X_NRG_FOOD,DE	: 	: 	: 	: 	: 	: 	-1.0 	-1.2 	-0.3 	-0.8 	-0.8 	0.0 	-0.6 	0.0 	-0.4 	-0.2 	-0.2 	0.1 	0.3 	0.8 	0.2 	0.3 	0.3 	0.3 	0.0 	0.7 	0.0 	0.2 	0.4 
A,CID_EA,TOT_X_NRG_FOOD,DK	: 	: 	: 	: 	: 	: 	0.3 	0.8 	-0.3 	-0.4 	-0.2 	-0.6 	0.2 	0.6 	0.2 	0.0 	0.1 	-0.6 	-0.2 	0.1 	-0.3 	-0.3 	-0.5 	-0.3 	0.0 	-0.7 	0.3 	-0.4 	-1.6 
A,CID_EA,TOT_X_NRG_FOOD,EA20	: 	: 	: 	: 	: 	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,CID_EA,TOT_X_NRG_FOOD,EE	: 	: 	: 	: 	: 	: 	1.0 	0.5 	-0.5 	0.6 	2.1 	4.2 	4.3 	-0.5 	-0.5 	1.0 	1.2 	0.8 	0.5 	0.1 	0.4 	1.0 	0.6 	1.4 	-0.7 	1.3 	6.3 	3.8 	2.3 
A,CID_EA,TOT_X_NRG_FOOD,EL	: 	: 	: 	: 	: 	: 	1.2 	1.2 	1.3 	1.8 	1.0 	1.2 	1.3 	0.9 	1.6 	-0.3 	-1.9 	-3.5 	-2.3 	-1.5 	-0.2 	-0.7 	-0.7 	-0.2 	-1.9 	-2.5 	0.6 	0.4 	0.7 
